word,meaning,sort,title,phonetic
atmosphere,n. 大气层，大气圈；气氛,1,Chapter 1 自然地理,/ˈætməsfɪə(r)/
hydrosphere,n. 水圈；大气中的水汽,1,Chapter 1 自然地理,/ˈhaɪdrəʊsfɪə(r)/
lithosphere,n. 岩石圈,1,Chapter 1 自然地理,/ˈlɪθəsfɪə(r)/
oxygen,n. 氧气,1,Chapter 1 自然地理,/ˈɒksɪdʒən/
oxide,n. 氧化物,1,Chapter 1 自然地理,/ˈɒksaɪd/
carbon dioxide,n. 二氧化碳,1,Chapter 1 自然地理,/ˌkɑːbən daɪˈɒksaɪd/
hydrogen,n. 氢气,1,Chapter 1 自然地理,/ˈhaɪdrədʒən/
core,n.果核,1,Chapter 1 自然地理,/kɔː(r)/
crust,n. 地壳；外壳,1,Chapter 1 自然地理,/krʌst/
mantle,n. 地幔；斗篷，披风 v. 覆盖,1,Chapter 1 自然地理,/ˈmænt(ə)l/
longitude,n. 经度,1,Chapter 1 自然地理,/ˈlɒŋɡɪtjuːd/
latitude,n. 纬度,1,Chapter 1 自然地理,/ˈlætɪtjuːd/
horizon,n. 地平线；[~s] 眼界，见识,1,Chapter 1 自然地理,/həˈraɪz(ə)n/
altitude,n. 高度，海拔,1,Chapter 1 自然地理,/ˈæltɪtjuːd/
disaster,n. 灾难,1,Chapter 1 自然地理,/dɪˈzɑːstə(r)/
mishap,n. 小灾难,1,Chapter 1 自然地理,/ˈmɪshæp/
catastrophic,adj. 灾难性的,1,Chapter 1 自然地理,/ˌkætəˈstrɒfɪk/
calamity,n. 灾难，不幸的事,1,Chapter 1 自然地理,/kəˈlæməti/
endanger,v. 使遭受危险，危及,1,Chapter 1 自然地理,/ɪnˈdeɪndʒə(r)/
jeopardise,v. 危害，危及,1,Chapter 1 自然地理,/ˈdʒepədaɪz/
destructive,adj. 破坏性的，有害的,1,Chapter 1 自然地理,/dɪˈstrʌktɪv/
El Nino,n. 厄尔尼诺现象,1,Chapter 1 自然地理,/ˌel ˈniːnjəʊ/
greenhouse,n. 温室，暖房,1,Chapter 1 自然地理,/ˈɡriːnhaʊs/
phenomenon,n. 现象,1,Chapter 1 自然地理,/fəˈnɒmɪnən/
pebble,n. 鹅卵石,1,Chapter 1 自然地理,/ˈpeb(ə)l/
magnet,n. 磁铁，吸铁石,1,Chapter 1 自然地理,/ˈmæɡnət/
ore,n. 矿石；矿,1,Chapter 1 自然地理,/ɔː(r)/
mineral,n. 矿物，矿物质；矿产,1,Chapter 1 自然地理,/ˈmɪnərəl/
marble,n. 大理石；(玩具)弹球,1,Chapter 1 自然地理,/ˈmɑːb(ə)l/
quartz,n. 石英,1,Chapter 1 自然地理,/kwɔːts/
granite,n. 花岗岩,1,Chapter 1 自然地理,/ˈɡrænɪt/
gust,n. 一阵狂风；(感情的)迸发,1,Chapter 1 自然地理,/ɡʌst/
breeze,n. 微风，和风,1,Chapter 1 自然地理,/briːz/
monsoon,n. 季风；雨季,1,Chapter 1 自然地理,/ˌmɒnˈsuːn/
gale,n. 大风,1,Chapter 1 自然地理,/ɡeɪl/
hurricane,n. 飓风；暴风,1,Chapter 1 自然地理,/ˈhʌrɪkən/
tornado,n. 龙卷风,1,Chapter 1 自然地理,/tɔːˈneɪdəʊ/
typhoon,n. 台风,1,Chapter 1 自然地理,/taɪˈfuːn/
