word,meaning,sort,title,phonetic
photosynthesis,n. 光合作用,2,Chapter 2 植物研究,/ˌfəʊtəʊˈsɪnθəsɪs/
respire,v. 呼吸,2,Chapter 2 植物研究,/rɪˈspaɪə(r)/
dioxide,n. 二氧化物,2,Chapter 2 植物研究,/daɪˈɒksaɪd/
vegetation,n. 植物，草木,2,Chapter 2 植物研究,/ˌvedʒəˈteɪʃ(ə)n/
herb,n. 药草；香草,2,Chapter 2 植物研究,/hɜːb/
perennial,n. 多年生植物 adj. 长期的，持久的,2,Chapter 2 植物研究,/pəˈreniəl/
botany,n. 植物学,2,Chapter 2 植物研究,/ˈbɒtəni/
ecology,n. 生态学；生态,2,Chapter 2 植物研究,/iˈkɒlədʒi/
ecosystem,n. 生态系统,2,Chapter 2 植物研究,/ˈiːkəʊsɪstəm/
eco-friendly,adj. 对生态环境友好的，不妨害生态环境的,2,Chapter 2 植物研究,/ˌiːkəʊ ˈfrendli/
horticulture,n. 园艺学；园艺,2,Chapter 2 植物研究,/ˈhɔːtɪkʌltʃə(r)/
organism,n. 有机体，生物,2,Chapter 2 植物研究,/ˈɔːɡənɪzəm/
genetics,n. 遗传学,2,Chapter 2 植物研究,/dʒəˈnetɪks/
mutation,n. 突变，变异,2,Chapter 2 植物研究,/mjuːˈteɪʃn/
variation,n. 变种；变异,2,Chapter 2 植物研究,/ˌveəriˈeɪʃ(ə)n/
diversity,n. 多样性,2,Chapter 2 植物研究,/daɪˈvɜːsəti/
hybridisation,n. 杂交(= hybridization),2,Chapter 2 植物研究,/ˌhaɪbrɪdaɪˈzeɪʃən/
classify,v. 分类,2,Chapter 2 植物研究,/ˈklæsɪfaɪ/
reproduce,v. 繁殖,2,Chapter 2 植物研究,/ˌriːprəˈdjuːs/
evolve,v. 进化；(使)发展，(使)逐步形成,2,Chapter 2 植物研究,/ɪˈvɒlv/
fluctuate,v. 波动，起伏,2,Chapter 2 植物研究,/ˈflʌktʃueɪt/
reclaim,v. 开垦，开拓，利用,2,Chapter 2 植物研究,/rɪˈkleɪm/
cultivate,v. 耕作；培养,2,Chapter 2 植物研究,/ˈkʌltɪveɪt/
sow,v. 播种,2,Chapter 2 植物研究,/səʊ/
harvest,v. 收割 n. 收获；收成,2,Chapter 2 植物研究,/ˈhɑːvɪst/
pluck,v. 采，摘,2,Chapter 2 植物研究,/plʌk/
pick,v. 拾；摘,2,Chapter 2 植物研究,/pɪk/
yield,v. 出产；屈服，服从 n. 产量；投资收益,2,Chapter 2 植物研究,/jiːld/
rear,v. 培养，抚养；饲养 n. 后部,2,Chapter 2 植物研究,/rɪə(r)/
arable,adj. 适于耕种的,2,Chapter 2 植物研究,/ˈærəb(ə)l/
plough, n. 犁 v. 耕(地)(= plow),2,Chapter 2 植物研究,/plaʊ/
spade,n. 铲，锹,2,Chapter 2 植物研究,/speɪd/
rake,n. 耙子 v. 耙；搜索,2,Chapter 2 植物研究,/reɪk/
stack,n. 堆，垛 v. 堆积,2,Chapter 2 植物研究,/stæk/
heap,n.(大而杂乱的)堆,2,Chapter 2 植物研究,/hiːp/
bundle,n. 捆，包，束,2,Chapter 2 植物研究,/ˈbʌnd(ə)l/
bunch,n. 一束(花)，一串(钥匙),2,Chapter 2 植物研究,/bʌntʃ/
vase,n. 瓶，花瓶,2,Chapter 2 植物研究,/vɑːz/
sunlight,n. 阳光,2,Chapter 2 植物研究,/ˈsʌnlaɪt/
short-day,adj. 短日照的,2,Chapter 2 植物研究,
shade-tolerant,adj. 耐阴的,2,Chapter 2 植物研究,
fungus,n. 真菌,2,Chapter 2 植物研究,/ˈfʌŋɡəs/
mould,(= mold) n. 霉 菌 v. 发 霉,2,Chapter 2 植物研究,/məʊld/
pollen,n. 花粉 v. 给……授粉,2,Chapter 2 植物研究,/ˈpɒlən/
germinate,v.(使)发芽；开始生长,2,Chapter 2 植物研究,/ˈdʒɜːmɪneɪt/
seed,n. 种子，籽；萌芽,2,Chapter 2 植物研究,/siːd/
burgeon,n. 嫩枝，新芽 v. 急速增长；发芽，抽枝,2,Chapter 2 植物研究,/ˈbɜːdʒən/
bud,n. 芽，苞，蓓蕾,2,Chapter 2 植物研究,/bʌd/
flower,v. 开 花 n. 花 朵,2,Chapter 2 植物研究,/ˈflaʊə(r)/
blossom,v. 开 花 n. 花 朵,2,Chapter 2 植物研究,/ˈblɒsəm/
bloom,n. 花朵,2,Chapter 2 植物研究,/bluːm/
scent,n. 气味；香味 v. 使具有香味,2,Chapter 2 植物研究,/sent/
aromatic,adj. 芳香的,2,Chapter 2 植物研究,/ˌærəˈmætɪk/
ripen,v.(使)成熟,2,Chapter 2 植物研究,/ˈraɪpən/
