word,meaning,sort,title,phonetic
biologist,n. 生物学家,3,Chapter 3 动物保护,/baɪˈɒlədʒɪst/
zoologist,n. 动物学家,3,Chapter 3 动物保护,/zuˈɒlədʒɪst; zəʊˈɒlədʒɪst/
ecologist,n. 生态学家,3,Chapter 3 动物保护,/iˈkɒlədʒɪst/
botanist,n. 植物学家,3,Chapter 3 动物保护,/ˈbɒtənɪst/
mammal,n. 哺乳动物,3,Chapter 3 动物保护,/ˈmæm(ə)l/
primate,n. 灵长目动物,3,Chapter 3 动物保护,/ˈpraɪmeɪt/
vertebrate,n. 脊椎动物,3,Chapter 3 动物保护,/ˈvɜːtɪbrət/
reptile,n. 爬行动物,3,Chapter 3 动物保护,/ˈreptaɪl/
amphibian,n. 两栖动物；水陆两用车 adj. 两栖动物的；水陆两用的,3,Chapter 3 动物保护,/æmˈfɪbiən/
carnivore,n. 食肉动物,3,Chapter 3 动物保护,/ˈkɑːnɪvɔː(r)/
herbivore,n. 食草动物,3,Chapter 3 动物保护,/ˈhɜːbɪvɔː(r)/
creature,n. 生物，动物,3,Chapter 3 动物保护,/ˈkriːtʃə(r)/
wildlife,n. 野生动物；野生生物,3,Chapter 3 动物保护,/ˈwaɪldlaɪf/
fauna,n.(尤指某一地区的)动物群,3,Chapter 3 动物保护,/ˈfɔːnə/
flora,n.(尤指某一地区的)植物群,3,Chapter 3 动物保护,/ˈflɔːrə/
species,n. [ 单复数同形 ] 种，物种,3,Chapter 3 动物保护,/ˈspiːʃiːz/
flock,n.(羊或鸟)群 v. 聚集,3,Chapter 3 动物保护,/flɒk/
herd,n. 兽群，畜群,3,Chapter 3 动物保护,/hɜːd/
swarm,n.(蜜蜂等昆虫的)一大群；(迅速移动的)人群,3,Chapter 3 动物保护,/swɔːm/
throng,n. 人群，一大群人 v. 群集,3,Chapter 3 动物保护,/θrɒŋ/
crowd,n.入群；观众；一伙人,3,Chapter 3 动物保护,/kraʊd/
beast,n. 兽，野兽；凶残的人，畜生,3,Chapter 3 动物保护,/biːst/
brute,n. 粗野的人，残忍的人,3,Chapter 3 动物保护,/bruːt/
cruel,adj. 残酷的，残忍的，残暴的,3,Chapter 3 动物保护,/ˈkruːəl/
derive,v. 得到；(使)源自,3,Chapter 3 动物保护,/dɪˈraɪv/
originate,v. 发源，来自；创始,3,Chapter 3 动物保护,/əˈrɪdʒɪneɪt/
stem,v. 起源于，来自 n. 茎，梗,3,Chapter 3 动物保护,/stem/
ancestor,n. 祖宗，祖先,3,Chapter 3 动物保护,/ˈænsestə(r)/
descendant,n. 后裔，后代 adj. 下降的,3,Chapter 3 动物保护,/dɪˈsendənt/
offspring,n. [ 单复数同形 ] 后代，子孙；产物,3,Chapter 3 动物保护,/ˈɒfsprɪŋ/
subgroup,n. 子群,3,Chapter 3 动物保护,/ˈsʌbɡruːp/
feed,v. 供养；喂，饲养；进食,3,Chapter 3 动物保护,/fiːd/
breed,v. 饲养；繁殖 n. 品种,3,Chapter 3 动物保护,/briːd/
interbreed,v.(使)品种间杂交，(使)生混种,3,Chapter 3 动物保护,/ˌɪntəˈbriːd/
hybridise,(= hybridize) v.(使)杂交,3,Chapter 3 动物保护,/ˈhaɪbrɪdaɪz/
proliferate,v. 迅速增殖；剧增,3,Chapter 3 动物保护,/prəˈlɪfəreɪt/
sterility,n. 不生育,3,Chapter 3 动物保护,/stəˈrɪləti/
mate,n.伙伴；［构成复合词］同伴,3,Chapter 3 动物保护,/meɪt/
courtship,n. 求偶,3,Chapter 3 动物保护,/ˈkɔːtʃɪp/
