word,meaning,sort,title,phonetic
galaxy,n.星系；银河系,4,Chapter 4 太空探索,/ˈɡæləksi/
cosmos,n.宇宙,4,Chapter 4 太空探索,/ˈkɒzmɒs/
universe,n.宇宙；万物，世界,4,Chapter 4 太空探索,/ˈjuːnɪvɜːs/
interstellar,adj.星际的,4,Chapter 4 太空探索,/ˌɪntəˈstelə(r)/
terrestrial,adj.地球的；｛动植物)陆地的,4,Chapter 4 太空探索,/təˈrestriəl/
celestial,adj.天上的,4,Chapter 4 太空探索,/səˈlestiəl/
astronomy,n天文学,4,Chapter 4 太空探索,/əˈstrɒnəmi/
astrology,n.占星学；占星术,4,Chapter 4 太空探索,/əˈstrɒlədʒi/
astronaut,n.宇航员,4,Chapter 4 太空探索,/ˈæstrənɔːt/
comet,n.彗星,4,Chapter 4 太空探索,/ˈkɒmɪt/
meteorite,n.陨石,4,Chapter 4 太空探索,/ˈmiːtiəraɪt/
crater,n. (撞击或爆炸形成的)坑,4,Chapter 4 太空探索,/ˈkreɪtə(r)/
dust,n.尘土，灰尘，粉尘,4,Chapter 4 太空探索,/dʌst/
ash,n.灰烬,4,Chapter 4 太空探索,/æʃ/
envelope,n. 信封,4,Chapter 4 太空探索,/ˈenvələʊp/
chunk,n.厚块,4,Chapter 4 太空探索,/tʃʌŋk/
spacecraft,n.宇宙飞船,4,Chapter 4 太空探索,/ˈspeɪskrɑːft/
spaceship,n.宇宙飞船,4,Chapter 4 太空探索,/ˈspeɪsʃɪp/
probe,n.太空探测器；详尽调查,4,Chapter 4 太空探索,/prəʊb/
module,n. (航天器上各个独立的｝舱；模块,4,Chapter 4 太空探索,/ˈmɒdjuːl/
propulsion,n.推进力,4,Chapter 4 太空探索,/prəˈpʌlʃ(ə)n/
pressure,n.压力,4,Chapter 4 太空探索,/ˈpreʃə(r)/
dynamics,n.动力学；动态,4,Chapter 4 太空探索,/daɪˈnæmɪks/
motion,v. 做动作，示意,4,Chapter 4 太空探索,/ˈməʊʃn/
vent,n.排气口 V.排放；发泄,4,Chapter 4 太空探索,/vent/
tail,n.尾部,4,Chapter 4 太空探索,/teɪl/
curve,n.曲线，弧线,4,Chapter 4 太空探索,/kɜːv/
exploration,n.探索,4,Chapter 4 太空探索,/ˌekspləˈreɪʃ(ə)n/
expedition,n.远征，探险,4,Chapter 4 太空探索,/ˌekspəˈdɪʃ(ə)n/
flyby,n. (航天器对行星或卫星的)飞掠,4,Chapter 4 太空探索,/ˈflaɪbaɪ/
observatory,n.天文台,4,Chapter 4 太空探索,/əbˈzɜːvətri/
telescope,n.望远镜,4,Chapter 4 太空探索,/ˈtelɪskəʊp/
