word,meaning,sort,title,phonetic
education,n.教育；教育学,5,Chapter 5 学校教育,/ˌedʒuˈkeɪʃ(ə)n/
primary,adj.主要的；最初的；小学教育的,5,Chapter 5 学校教育,/ˈpraɪməri/
secondary,adj.中等教育的；次要的,5,Chapter 5 学校教育,/ˈsekənd(ə)ri/
university,n.(综合性)大学,5,Chapter 5 学校教育,/ˌjuːnɪˈvɜːsəti/
college,n.学院；大学,5,Chapter 5 学校教育,/ˈkɒlɪdʒ/
institute,n.研究所，学院,5,Chapter 5 学校教育,/ˈɪnstɪtjuːt/
academy,n. 专科院校；｛美国的｝私立中学；研究院，学会,5,Chapter 5 学校教育,/əˈkædəmi/
learn,v.学习；得知,5,Chapter 5 学校教育,/lɜːn/
study,v.学习；研究 n.学习；研究,5,Chapter 5 学校教育,/ˈstʌdi/
acquire,v.获得(技能、知识等)；购得,5,Chapter 5 学校教育,/əˈkwaɪə(r)/
knowledge,n.知识，学识；知悉,5,Chapter 5 学校教育,/ˈnɒlɪdʒ/
expertise,n.专门知识，专门技能,5,Chapter 5 学校教育,/ˌekspɜːˈtiːz/
novice,n.新手,5,Chapter 5 学校教育,/ˈnɒvɪs/
recruit,V.吸收(新成员),5,Chapter 5 学校教育,/rɪˈkruːt/
literate,adj.有读写能力的,5,Chapter 5 学校教育,/ˈlɪtərət/
illiteracy,n.文盲,5,Chapter 5 学校教育,/ɪˈlɪtərəsi/
numerate,adj.识数的，有计算能力的,5,Chapter 5 学校教育,/ˈnjuːmərət/
problem,n.习题；问题,5,Chapter 5 学校教育,/ˈprɒbləm/
issue,n.重要问题；发行 v.公布，发出,5,Chapter 5 学校教育,/ˈɪʃuː/
affair,n. 事件；［~s ］公共事务，政治事务,5,Chapter 5 学校教育,/əˈfeə(r)/
controversial,adj.有争议的,5,Chapter 5 学校教育,/ˌkɒntrəˈvɜːʃ(ə)l/
puzzle,n.难题；谜 v.使迷惑,5,Chapter 5 学校教育,/ˈpʌz(ə)l/
riddle,n.谜，谜语,5,Chapter 5 学校教育,/ˈrɪd(ə)l/
obscure,adj.难以理解的,5,Chapter 5 学校教育,/əbˈskjʊə(r)/
instil,v.逐渐灌输 (=instill) ,5,Chapter 5 学校教育,/ɪnˈstɪl/
cram,V.把……塞进；(为应考)临时死记硬背,5,Chapter 5 学校教育,/kræm/
emphasise,"v.强调,着重 (=emphasize) ",5,Chapter 5 学校教育,/ˈemfəsaɪz/
enhance,v.提高，增强,5,Chapter 5 学校教育,/ɪnˈhɑːns/
enable,V. 使能够,5,Chapter 5 学校教育,/ɪˈneɪb(ə)l/
inspire,v.鼓舞；给……灵感,5,Chapter 5 学校教育,/ɪnˈspaɪə(r)/
motive,n.动机，(行动的)缘由,5,Chapter 5 学校教育,/ˈməʊtɪv/
motivate,v.激发，驱使,5,Chapter 5 学校教育,/ˈməʊtɪveɪt/
stimulate,v.刺激；激励,5,Chapter 5 学校教育,/ˈstɪmjuleɪt/
spur,v.鞭策，刺激n.马刺；刺激,5,Chapter 5 学校教育,/spɜː(r)/
impetus,n.推动，促进；动量；惯性,5,Chapter 5 学校教育,/ˈɪmpɪtəs/
indulge,v.迁就，放任；沉湎；让……享受一下,5,Chapter 5 学校教育,/ɪnˈdʌldʒ/
spoil,v.宠坏，溺爱；破坏，糟蹋,5,Chapter 5 学校教育,/spɔɪl/
