word,meaning,sort,title,phonetic
technology,n. 技术,6,Chapter 6 科技发明,/tekˈnɒlədʒi/
technique,n. 技巧；技术,6,Chapter 6 科技发明,/tekˈniːk/
polytechnic,adj. 有关多种工艺的 n. 理工学院,6,Chapter 6 科技发明,/ˌpɒliˈteknɪk/
engineer,n. 工程师，技师,6,Chapter 6 科技发明,/ˌendʒɪˈnɪə(r)/
mechanic,n. 技工，机械师，机修工,6,Chapter 6 科技发明,/məˈkænɪk; mɪˈkænɪk/
advance,n.发展；前进 v. 发展；前进,6,Chapter 6 科技发明,/ədˈvɑːns/
innovate,v. 创新，改革,6,Chapter 6 科技发明,/ˈɪnəveɪt/
breakthrough,n. 突破,6,Chapter 6 科技发明,/ˈbreɪkθruː/
gizmo,n. 小装置,6,Chapter 6 科技发明,/ˈɡɪzməʊ/
patent,n. 专利，专利权 v. 得到……的专利权；给……专利证,6,Chapter 6 科技发明,/ˈpeɪt(ə)nt; ˈpæt(ə)nt/
devise,v. 设计，发明,6,Chapter 6 科技发明,/dɪˈvaɪz/
invent,v. 发明，创造,6,Chapter 6 科技发明,/ɪnˈvent/
discover,v. 发现,6,Chapter 6 科技发明,/dɪˈskʌvə(r)/
disclose,v. 揭露，透露,6,Chapter 6 科技发明,/dɪsˈkləʊz/
reveal,v. 展现；显示，透露,6,Chapter 6 科技发明,/rɪˈviːl/
uncover,v. 揭露，发现,6,Chapter 6 科技发明,/ʌnˈkʌvə(r)/
expose,v. 使暴露；揭发，使曝光,6,Chapter 6 科技发明,/ɪkˈspəʊz/
domain,n.(活动、学问等的)领域；领土，领地,6,Chapter 6 科技发明,/dəˈmeɪn/
field,n. 领域,6,Chapter 6 科技发明,/fiːld/
realm,n. 领域,6,Chapter 6 科技发明,/relm/
foundation,n. 基础；地基；基金会,6,Chapter 6 科技发明,/faʊnˈdeɪʃ(ə)n/
specialise,(= specialize)v. 专攻,6,Chapter 6 科技发明,/ˈspeʃəlaɪz/
absorb,v.理解；掌握,6,Chapter 6 科技发明,/əbˈzɔːb/
concentrate,v. 集中(心思)；(使)浓缩,6,Chapter 6 科技发明,/ˈkɒns(ə)ntreɪt/
focus,v.(把……)集中(于) n. 焦点,6,Chapter 6 科技发明,/ˈfəʊkəs/
utilise,(= utilize)v. 利用,6,Chapter 6 科技发明,/ˈjuːtəlaɪz/
usage,n. 使用；(词语的)用法,6,Chapter 6 科技发明,/ˈjuːsɪdʒ/
tester,n. 测试仪；测试员,6,Chapter 6 科技发明,/ˈtestə(r)/
apply,v. 应用，适用,6,Chapter 6 科技发明,/əˈplaɪ/
appliance,n. 应用；(家用)器具,6,Chapter 6 科技发明,/əˈplaɪəns/
facility,n. 设备；便利,6,Chapter 6 科技发明,/fəˈsɪlətɪ/
equipment,n. 设备,6,Chapter 6 科技发明,/ɪˈkwɪpmənt/
instrument,n. 仪器；工具；乐器,6,Chapter 6 科技发明,/ˈɪnstrəmənt/
