word,meaning,sort,title,phonetic
culture,n. 文化，文明；教养,7,Chapter 7 文化历史,/ˈkʌltʃə(r)/
civilisation,(= civilization)n. 文明,7,Chapter 7 文化历史,/ˌsɪvəlaɪˈzeɪʃ(ə)n/
renaissance,n. [the R~] 文艺复兴时期,7,Chapter 7 文化历史,/rɪˈneɪs(ə)ns/
epic,n. 史诗 adj. 宏大的,7,Chapter 7 文化历史,/ˈepɪk/
ideology,n. 意识形态，思想体系,7,Chapter 7 文化历史,/ˌaɪdiˈɒlədʒi/
tradition,n. 传统,7,Chapter 7 文化历史,/trəˈdɪʃ(ə)n/
convention,n. 惯例；大型会议,7,Chapter 7 文化历史,/kənˈvenʃ(ə)n/
custom,n. 习俗；(个人的)习惯,7,Chapter 7 文化历史,/ˈkʌstəm/
feudalism,n. 封建主义；封建制度,7,Chapter 7 文化历史,/ˈfjuːdəlɪzəm/
slavery,n. 奴隶制,7,Chapter 7 文化历史,/ˈsleɪvəri/
ethical,adj. 伦理的，道德的,7,Chapter 7 文化历史,/ˈeθɪk(ə)l/
moral,adj. 道德上的；有道德的 n. [~s] 道德,7,Chapter 7 文化历史,/ˈmɒrəl/
tribe,n. 部落,7,Chapter 7 文化历史,/traɪb/
aboriginal,n. [A~] 澳大利亚土著人 adj. 本土原有的；土著的,7,Chapter 7 文化历史,/ˌæbəˈrɪdʒən(ə)l/
inhabitant,n. 居民,7,Chapter 7 文化历史,/ɪnˈhæbɪtənt/
native,adj. 本土的 n. 本地人,7,Chapter 7 文化历史,/ˈneɪtɪv/
local,adj. 当地的 n. 当地人,7,Chapter 7 文化历史,/ˈləʊk(ə)l/
exotic,adj. 外来的；异国情调的,7,Chapter 7 文化历史,/ɪɡˈzɒtɪk/
foreigner,n. 外国人,7,Chapter 7 文化历史,/ˈfɒrənə(r)/
alien,n. 外侨；外星生物 adj. 外国的；陌生的,7,Chapter 7 文化历史,/ˈeɪliən/
anthropologist,n. 人类学家,7,Chapter 7 文化历史,/ˌænθrəˈpɒlədʒɪst/
humanitarian,n. 人道主义者 adj. 人道主义的，博爱的,7,Chapter 7 文化历史,/hjuːˌmænɪˈteəriən/
heritage,n.(国家的)遗产,7,Chapter 7 文化历史,/ˈherɪtɪdʒ/
inherit,v. 继承(财产等)；经遗传获得,7,Chapter 7 文化历史,/ɪnˈherɪt/
antique,n. 古董 adj. 古董的,7,Chapter 7 文化历史,/ænˈtiːk/
archaeology,n. 考古学,7,Chapter 7 文化历史,/ˌɑːkiˈɒlədʒi/
excavate,挖掘，发掘,7,Chapter 7 文化历史,/ˈekskəveɪt/
museum,n. 博物馆,7,Chapter 7 文化历史,/mjuˈziːəm/
pottery,n. 陶器,7,Chapter 7 文化历史,/ˈpɒtəri/
engrave,v. 在……上雕刻,7,Chapter 7 文化历史,/ɪnˈɡreɪv/
decorate,v. 装饰,7,Chapter 7 文化历史,/ˈdekəreɪt/
religion,n. 宗教，宗教信仰,7,Chapter 7 文化历史,/rɪˈlɪdʒən/
ritual,n. 仪式,7,Chapter 7 文化历史,/ˈrɪtʃuəl/
etiquette,n. 礼仪，礼节,7,Chapter 7 文化历史,/ˈetɪkət/
belief,n. 信念；信仰,7,Chapter 7 文化历史,/bɪˈliːf/
soul,n. 灵魂；心灵；精神,7,Chapter 7 文化历史,/səʊl/
spirit,n. 精神，心灵,7,Chapter 7 文化历史,/ˈspɪrɪt/
sacred,adj. 神圣的；宗教的,7,Chapter 7 文化历史,/ˈseɪkrɪd/
hallowed,adj. 神圣的；受尊崇的,7,Chapter 7 文化历史,/ˈhæləʊd/
holy,adj. 神圣的；圣洁的，虔诚的,7,Chapter 7 文化历史,/ˈhəʊli/
Pope,n. 教皇,7,Chapter 7 文化历史,/pəʊp/
bishop,n. 主教,7,Chapter 7 文化历史,/ˈbɪʃəp/
missionary,n. 传教士,7,Chapter 7 文化历史,/ˈmɪʃən(ə)ri/
priest,n. 牧师；神父；教士,7,Chapter 7 文化历史,/priːst/
Bible,n. 基督教的《圣经》,7,Chapter 7 文化历史,/ˈbaɪb(ə)l/
church,n. 教堂,7,Chapter 7 文化历史,/tʃɜːtʃ/
cathedral,n. 大教堂,7,Chapter 7 文化历史,/kəˈθiːdrəl/
choir,n. 唱诗班,7,Chapter 7 文化历史,/ˈkwaɪə(r)/
monk,n. 僧侣,7,Chapter 7 文化历史,/mʌŋk/
temple,n. 寺院，庙宇,7,Chapter 7 文化历史,/ˈtemp(ə)l/
pagoda,n. 佛塔,7,Chapter 7 文化历史,/pəˈɡəʊdə/
empire,n. 帝国,7,Chapter 7 文化历史,/ˈempaɪə(r)/
imperial,adj. 帝国的,7,Chapter 7 文化历史,/ɪmˈpɪəriəl/
royal,adj. 皇家的；高贵的,7,Chapter 7 文化历史,/ˈrɔɪəl/
dynasty,n. 朝代,7,Chapter 7 文化历史,/ˈdɪnəsti/
chronology,n. 年表，事件发生顺序表；年代学,7,Chapter 7 文化历史,/krəˈnɒlədʒi/
emperor,n. 皇帝,7,Chapter 7 文化历史,/ˈempərə(r)/
king,n. 国王,7,Chapter 7 文化历史,/kɪŋ/
queen,n. 王后；女王,7,Chapter 7 文化历史,/kwiːn/
prince,n. 王子；亲王,7,Chapter 7 文化历史,/prɪns/
princess,n. 公主；王妃,7,Chapter 7 文化历史,/ˌprɪnˈses/
majesty,n. 威严，壮观；陛下,7,Chapter 7 文化历史,/ˈmædʒəsti/
nobility,n. 高尚的品质；贵族,7,Chapter 7 文化历史,/nəʊˈbɪləti/
lord,n.(英国)贵族；[L~] 阁下，大人；[the L~] 上帝,7,Chapter 7 文化历史,/lɔːd/
knight,n. 骑士 v. 封(某人)为爵士,7,Chapter 7 文化历史,/naɪt/
guardian,n. 保卫者；监护人 adj. 守护的,7,Chapter 7 文化历史,/ˈɡɑːdiən/
nostalgia,n. 思乡之情；怀旧之情,7,Chapter 7 文化历史,/nɒˈstældʒə/
homesick,adj. 思乡的,7,Chapter 7 文化历史,/ˈhəʊmsɪk/
celebrity,n. 名人；名誉,7,Chapter 7 文化历史,/səˈlebrəti/
status,n. 地位，身份,7,Chapter 7 文化历史,/ˈsteɪtəs/
background,n. 背景；(个人出身、受教育)经历,7,Chapter 7 文化历史,/ˈbækɡraʊnd/
experience,n. 经验；(一次)经历，体验,7,Chapter 7 文化历史,/ɪkˈspɪəriəns/
anecdote,n. 轶事，奇闻,7,Chapter 7 文化历史,/ˈænɪkdəʊt/
accident,n. 事故；意外，偶然的事,7,Chapter 7 文化历史,/ˈæksɪdənt/
incident,n.(尤指不寻常的、重要的或暴力的)事件；(两国间的)冲突,7,Chapter 7 文化历史,/ˈɪnsɪdənt/
thrive,v. 繁荣，兴旺发达；茁壮生长,7,Chapter 7 文化历史,/θraɪv/
prosperity,n. 繁荣，兴旺,7,Chapter 7 文化历史,/prɒˈsperəti/
setback,n. 挫折，阻碍,7,Chapter 7 文化历史,/ˈsetbæk/
adversity,n. 逆境,7,Chapter 7 文化历史,/ədˈvɜːsəti/
