word,meaning,sort,title,phonetic
language,n.语言,8,Chapter 8 语言演化,/ˈlæŋɡwɪdʒ/
symbol,n.象征；符号，记号,8,Chapter 8 语言演化,/ˈsɪmb(ə)l/
sign,n.符号；征兆，迹象；手势v.签(名),8,Chapter 8 语言演化,/saɪn/
gesture,n.手势，姿势,8,Chapter 8 语言演化,/ˈdʒestʃə(r)/
handwriting,n.笔迹;书写,8,Chapter 8 语言演化,/ˈhændraɪtɪŋ/
pictograph,n. 象形文字,8,Chapter 8 语言演化,/ˈpɪktəɡrɑːf/
wedge,n.楔子；楔形物；楔形文字,8,Chapter 8 语言演化,/wedʒ/
knot,n.(绳、线等的)结；(树枝上的)节子,8,Chapter 8 语言演化,/nɒt/
linguistics,n.语言学,8,Chapter 8 语言演化,/lɪŋˈɡwɪstɪks/
semantic,n.语义的,8,Chapter 8 语言演化,/sɪˈmæntɪk/
syntax,n.句法,8,Chapter 8 语言演化,/ˈsɪntæks/
grammar,n.语法；语法书,8,Chapter 8 语言演化,/ˈɡræmə(r)/
phonetics,n.语音学,8,Chapter 8 语言演化,/fəˈnetɪks/
pronounce,v.发……的音；宣布,8,Chapter 8 语言演化,/prəˈnaʊns/
intonation,n.语调,8,Chapter 8 语言演化,/ˌɪntəˈneɪʃ(ə)n/
inflection,n.语调的抑扬变化,8,Chapter 8 语言演化,/ɪnˈflekʃn/
dialect,n.方言，地方话,8,Chapter 8 语言演化,/ˈdaɪəlekt/
accent,n.重音；口音；读音符号,8,Chapter 8 语言演化,/ˈæksent/
utterance,n.说话；话语,8,Chapter 8 语言演化,/ˈʌtərəns/
oral,adj. 口头的,8,Chapter 8 语言演化,/ˈɔːrəl/
verbal,adj. 口头的；言语的,8,Chapter 8 语言演化,/ˈvɜːb(ə)l/
syllable,n.音节,8,Chapter 8 语言演化,/ˈsɪləb(ə)l/
phoneme,n.音位,8,Chapter 8 语言演化,/ˈfəʊniːm/
vowel,n.元音,8,Chapter 8 语言演化,/ˈvaʊəl/
consonant,n.辅音,8,Chapter 8 语言演化,/ˈkɒnsənənt/
alphabet,n.字母表，(一种语言的)全部字母,8,Chapter 8 语言演化,/ˈælfəbet/
logogram,n.词符，缩记符,8,Chapter 8 语言演化,/ˈlɒɡəɡræm/
vocabulary,n.词汇,8,Chapter 8 语言演化,/vəˈkæbjələri; vəʊˈkæbjələri/
dictionary,n.词典，字典，辞典,8,Chapter 8 语言演化,/ˈdɪkʃən(ə)ri/
idiom,n.习语,8,Chapter 8 语言演化,/ˈɪdiəm/
phrase,n.短语；习语,8,Chapter 8 语言演化,/freɪz/
clause,n.分句，从句；条款,8,Chapter 8 语言演化,/klɔːz/
expression,n.词语；表达；表情,8,Chapter 8 语言演化,/ɪkˈspreʃ(ə)n/
tense,n.时态adj.紧张的,8,Chapter 8 语言演化,/tens/
root,n.词根，字根；根源,8,Chapter 8 语言演化,/ruːt/
prefix,n.词首，前缀；前置代号,8,Chapter 8 语言演化,/ˈpriːfɪks/
suffix,n.后缀，词尾；尾标,8,Chapter 8 语言演化,/ˈsʌfɪks/
abbreviation,n.缩写形式,8,Chapter 8 语言演化,/əˌbriːviˈeɪʃn/
synonym,n.同义词,8,Chapter 8 语言演化,/ˈsɪnənɪm/
antonym,n.反义词,8,Chapter 8 语言演化,/ˈæntənɪm/
noun,n. 名词,8,Chapter 8 语言演化,/naʊn/
singular,n.单数adj.单数的；非凡的,8,Chapter 8 语言演化,/ˈsɪŋɡjələ(r)/
plural,n.复数adj.复数的；多元的,8,Chapter 8 语言演化,/ˈplʊərəl/
pronoun,n.代词,8,Chapter 8 语言演化,/ˈprəʊnaʊn/
verb,n.动词,8,Chapter 8 语言演化,/vɜːb/
adjective,n.形容词,8,Chapter 8 语言演化,/ˈædʒɪktɪv/
adverb,n.副词,8,Chapter 8 语言演化,/ˈædvɜːb/
preposition,n.介词,8,Chapter 8 语言演化,/ˌprepəˈzɪʃ(ə)n/
conjunction,n.连词；结合,8,Chapter 8 语言演化,/kənˈdʒʌŋkʃ(ə)n/
consistent,adj. —致的；(观点或看法)连贯的,8,Chapter 8 语言演化,/kənˈsɪstənt/
complicated,adj.复杂的,8,Chapter 8 语言演化,/ˈkɒmplɪkeɪtɪd/
complex,adj.复杂的,8,Chapter 8 语言演化,/ˈkɒmpleks/
compile,v.编纂,8,Chapter 8 语言演化,/kəmˈpaɪl/
version,n.译本；版本,8,Chapter 8 语言演化,/ˈvɜːʃ(ə)n/
translate,v.翻译；(使)转变,8,Chapter 8 语言演化,/trænzˈleɪt/
