word,meaning,sort,title,phonetic
perform,v. 履行，执行,9,Chapter 9 娱乐运动,/pəˈfɔːm/
rehearsal,n. 排练,9,Chapter 9 娱乐运动,/rɪˈhɜːs(ə)l/
medium,n. 媒介 adj. 中间的，中等的,9,Chapter 9 娱乐运动,/ˈmiːdɪəm/
journalist,n. 记者，新闻工作者,9,Chapter 9 娱乐运动,/ˈdʒɜːnəlɪst/
press,n. 新闻界，记者；报刊；出版社,9,Chapter 9 娱乐运动,/pres/
critic,n. 批评家；挑剔的人,9,Chapter 9 娱乐运动,/ˈkrɪtɪk/
commentator,n. 评论员；实况解说员,9,Chapter 9 娱乐运动,/ˈkɒmənteɪtə(r)/
exponent,n. 阐述者，倡导者，拥护者,9,Chapter 9 娱乐运动,/ɪkˈspəʊnənt/
announcer,n. 广播员，播音员,9,Chapter 9 娱乐运动,/əˈnaʊnsə(r)/
correspondent,n. 通信者；通讯员，记者,9,Chapter 9 娱乐运动,/ˌkɒrəˈspɒndənt/
messenger,n. 邮递员，信使,9,Chapter 9 娱乐运动,/ˈmesɪndʒə(r)/
editor,n. 编辑，校订者；(电台或电视台的)记者，编辑,9,Chapter 9 娱乐运动,/ˈedɪtə(r)/
typist,n. 打字员,9,Chapter 9 娱乐运动,/ˈtaɪpɪst/
handout,n. 传单；讲义,9,Chapter 9 娱乐运动,/ˈhændaʊt/
leaflet,n. 传单 v. 散发传单,9,Chapter 9 娱乐运动,/ˈliːflət/
propaganda,n. 宣传，鼓吹,9,Chapter 9 娱乐运动,/ˌprɒpəˈɡændə/
publish,v. 公布；出版，发行,9,Chapter 9 娱乐运动,/ˈpʌblɪʃ/
disseminate,v. 散布，传播,9,Chapter 9 娱乐运动,/dɪˈsemɪneɪt/
foresee,v. 预见，预知,9,Chapter 9 娱乐运动,/fɔːˈsiː/
anticipate,v. 预期，预料,9,Chapter 9 娱乐运动,/ænˈtɪsɪpeɪt/
expect,v. 预料，预期,9,Chapter 9 娱乐运动,/ɪkˈspekt/
await,v. 等候，期待；将降临到……身上,9,Chapter 9 娱乐运动,/əˈweɪt/
pastime,n. 消遣，娱乐,9,Chapter 9 娱乐运动,/ˈpɑːstaɪm/
entertain,v.娱乐；招待；心存，怀有,9,Chapter 9 娱乐运动,/ˌentəˈteɪn/
recreation,n. 休闲，娱乐,9,Chapter 9 娱乐运动,/ˌriːkrɪˈeɪʃn; ˌrekrɪˈeɪʃən/
amuse,v. 逗乐；给......提供娱乐,9,Chapter 9 娱乐运动,/əˈmjuːz/
gossip,n. 闲聊；流言蜚语,9,Chapter 9 娱乐运动,/ˈɡɒsɪp/
rumour,(= rumor)n. 谣言，传闻,9,Chapter 9 娱乐运动,/ˈruːmə(r)/
consensus,n. 共识，一致的意见,9,Chapter 9 娱乐运动,/kənˈsensəs/
festival,n.节日；(音乐、电影等的)节,9,Chapter 9 娱乐运动,/ˈfestɪvl; ˈfestəvəl/
feast,n.盛宴；(宗教)节日,9,Chapter 9 娱乐运动,/fiːst/
programme,(= program)n. 节目；方案；(演出或活动的)程序,9,Chapter 9 娱乐运动,/ˈprəʊɡræm/
imitate,v. 模仿，效仿,9,Chapter 9 娱乐运动,/ˈɪmɪteɪt/
mimic,v.模仿，效仿,9,Chapter 9 娱乐运动,/ˈmɪmɪk/
simulate,v.模拟；假装，冒充,9,Chapter 9 娱乐运动,/ˈsɪmjuleɪt/
circus,n. 马戏团；圆形广场(常用于地名),9,Chapter 9 娱乐运动,/ˈsɜːkəs/
magic,n. 魔术；魔法,9,Chapter 9 娱乐运动,/ˈmædʒɪk/
drama,n. 戏，剧；戏剧艺术,9,Chapter 9 娱乐运动,/ˈdrɑːmə/
concert,n. 音乐会,9,Chapter 9 娱乐运动,/ˈkɒnsət/
symphony,n. 交响乐,9,Chapter 9 娱乐运动,/ˈsɪmfəni/
orchestra,n. 管弦乐队,9,Chapter 9 娱乐运动,/ˈɔːkɪstrə/
ballet,n. 芭蕾舞；芭蕾舞剧,9,Chapter 9 娱乐运动,/ˈbæleɪ/
opera,n. 歌剧,9,Chapter 9 娱乐运动,/ˈɒprə/
comedy,n. 喜剧,9,Chapter 9 娱乐运动,/ˈkɒmədi/
tragedy,n.悲剧；悲惨的事,9,Chapter 9 娱乐运动,/ˈtrædʒədi/
animation,n.动画片；动画制作,9,Chapter 9 娱乐运动,/ˌænɪˈmeɪʃ(ə)n/
film,n. 影片；胶卷,9,Chapter 9 娱乐运动,/fɪlm/
movie,n. 电影,9,Chapter 9 娱乐运动,/ˈmuːvi/
X-rated,adj.x级的，青少年不宜的,9,Chapter 9 娱乐运动,/ˈeks reɪtɪd/
artist,n. 艺术家,9,Chapter 9 娱乐运动,/ˈɑːtɪst/
craftsman,n.工匠，工艺师,9,Chapter 9 娱乐运动,/ˈkrɑːftsmən/
painter,n. 画家；油漆匠,9,Chapter 9 娱乐运动,/ˈpeɪntə(r)/
role,n. 角色；作用；职能,9,Chapter 9 娱乐运动,/rəʊl/
scene,n.景色；现场；(戏剧的)场面,9,Chapter 9 娱乐运动,/siːn/
stage,n.舞台；阶段；,9,Chapter 9 娱乐运动,/steɪdʒ/
gallery,n.美术馆,9,Chapter 9 娱乐运动,/ˈɡælərɪ/
exhibition,n.展览,9,Chapter 9 娱乐运动,/ˌeksɪˈbɪʃ(ə)n/
aesthetic,adj.审美的,9,Chapter 9 娱乐运动,/iːsˈθetɪk/
collect,v.收集；收藏,9,Chapter 9 娱乐运动,/kəˈlekt/
select,v.选择，挑选,9,Chapter 9 娱乐运动,/sɪˈlekt/
opt,v.选择,9,Chapter 9 娱乐运动,/ɒpt/
photograph,n.照片，相片,9,Chapter 9 娱乐运动,/ˈfəʊtəɡrɑːf/
portrait,n.肖像，半身画像,9,Chapter 9 娱乐运动,/ˈpɔːtreɪt/
painting,n.油画，绘画；,9,Chapter 9 娱乐运动,/ˈpeɪntɪŋ/
sculpture,n.雕塑,9,Chapter 9 娱乐运动,/ˈskʌlptʃə(r)/
draw,v.画；拉；拔出,9,Chapter 9 娱乐运动,/drɔː/
depict,v.描述，描写；,9,Chapter 9 娱乐运动,/dɪˈpɪkt/
describe,v.描述，形容,9,Chapter 9 娱乐运动,/dɪˈskraɪb/
carve,V.雕刻；切下,9,Chapter 9 娱乐运动,/kɑːv/
improvise,V.临时做；即兴创作,9,Chapter 9 娱乐运动,/ˈɪmprəvaɪz/
musical,adj.音乐的；悦耳的,9,Chapter 9 娱乐运动,/ˈmjuːzɪk(ə)l/
classical,adj.古典的，传统的,9,Chapter 9 娱乐运动,/ˈklæsɪk(ə)l/
jazz,n.爵士乐,9,Chapter 9 娱乐运动,/dʒæz/
rock,n.摇滚乐；岩石,9,Chapter 9 娱乐运动,/rɒk/
hip-hop,n.嘻哈文化,9,Chapter 9 娱乐运动,/ˈhɪp hɒp/
pop,n.流行音乐，流行乐曲,9,Chapter 9 娱乐运动,/pɒp/
lyric,n.抒情诗；,9,Chapter 9 娱乐运动,/ˈlɪrɪk/
band,n.乐队；,9,Chapter 9 娱乐运动,/bænd/
solo,n独奏，独唱,9,Chapter 9 娱乐运动,/ˈsəʊləʊ/
melody,n.乐曲；旋律,9,Chapter 9 娱乐运动,/ˈmelədi/
rhythm,n节奏，韵律,9,Chapter 9 娱乐运动,/ˈrɪðəm/
tone,n.音色；声调；腔调,9,Chapter 9 娱乐运动,/təʊn/
tune,n.曲调；短乐曲,9,Chapter 9 娱乐运动,/tjuːn/
disc,n. 光碟；唱片；［英］(计算机)磁碟，磁盘,9,Chapter 9 娱乐运动,/dɪsk/
piano,n.钢琴,9,Chapter 9 娱乐运动,/pɪˈænəʊ/
violin,n.小提琴,9,Chapter 9 娱乐运动,/ˌvaɪəˈlɪn/
cello,n..大提琴,9,Chapter 9 娱乐运动,/ˈtʃeləʊ/
guitar,n.吉他,9,Chapter 9 娱乐运动,/ɡɪˈtɑː(r)/
harmonica,n.口琴,9,Chapter 9 娱乐运动,/hɑːˈmɒnɪkə/
trumpet,n.喇叭，小号,9,Chapter 9 娱乐运动,/ˈtrʌmpɪt/
drum,n.鼓；鼓状物；大桶,9,Chapter 9 娱乐运动,/drʌm/
flute,n. 长笛,9,Chapter 9 娱乐运动,/fluːt/
competition,n.竞争；比赛,9,Chapter 9 娱乐运动,/ˌkɒmpəˈtɪʃ(ə)n/
tournament,n.锦标赛，联赛,9,Chapter 9 娱乐运动,/ˈtʊənəmənt/
Olympic,adj.奥林匹克运动会的,9,Chapter 9 娱乐运动,/əˈlɪmpɪk/
sponsor,n.发起人；主办人；赞助人,9,Chapter 9 娱乐运动,/ˈspɒnsə(r)/
patron,n.赞助人；顾客，老主顾,9,Chapter 9 娱乐运动,/ˈpeɪtrən/
athlete,n.运动员:［英］田径运动员,9,Chapter 9 娱乐运动,/ˈæθliːt/
champion,n.冠军，第一名,9,Chapter 9 娱乐运动,/ˈtʃæmpiən/
spectator,n.观众,9,Chapter 9 娱乐运动,/spekˈteɪtə(r)/
volunteer,n.志愿者 v.自愿做,9,Chapter 9 娱乐运动,/ˌvɒlənˈtɪə(r)/
motion,v. 做动作，示意,9,Chapter 9 娱乐运动,/ˈməʊʃn/
pitch,n. 沥青,9,Chapter 9 娱乐运动,/pɪtʃ/
bow,n.弓；蝴蝶结 v.鞠躬,9,Chapter 9 娱乐运动,/baʊ; bəʊ/
