word,meaning,sort,title,phonetic
tap,v.轻拍，轻叩；开发,10,Chapter 10 物品材料,/tæp/
stuff,n. 东西；原料,10,Chapter 10 物品材料,/stʌf/
item,n. 一项项目，条目,10,Chapter 10 物品材料,/ˈaɪtəm/
merchandise,n. 商品,10,Chapter 10 物品材料,/ˈmɜːtʃəndaɪs/
souvenir,n. 纪念品,10,Chapter 10 物品材料,/ˌsuːvəˈnɪə(r)/
artefact,(= artifact)n. 人造物品；手工艺品,10,Chapter 10 物品材料,/ˈɑːtɪfækt/
material,n. 材料，原料；人才 adj. 物质的,10,Chapter 10 物品材料,/məˈtɪərɪəl/
raw,adj. 天然的，未经加工的；(感情)原始的,10,Chapter 10 物品材料,/rɔː/
crude,adj. 天然的，未经加工的；粗糙的 n. 原油,10,Chapter 10 物品材料,/kruːd/
necessity,n. 必需品，必不可少的事物；必要,10,Chapter 10 物品材料,/nəˈsesəti/
outfit,n. 全套服装；全套装备 v. 配备，装备,10,Chapter 10 物品材料,/ˈaʊtfɪt/
kit,n. 成套工具,10,Chapter 10 物品材料,/kɪt/
utensil,n.(家庭)用具，器皿,10,Chapter 10 物品材料,/juːˈtens(ə)l/
garbage,n. [ 尤美 ] 垃圾，废物,10,Chapter 10 物品材料,/ˈɡɑːbɪdʒ/
rubbish,n. [ 尤英 ] 垃圾，废弃物，废话,10,Chapter 10 物品材料,/ˈrʌbɪʃ/
trash,n. [ 美 ] 垃圾,10,Chapter 10 物品材料,/træʃ/
recycle,v. 使再循环，回收利用；反复应用,10,Chapter 10 物品材料,/ˌriːˈsaɪkl/
reuse,v. 再次使用,10,Chapter 10 物品材料,/ˌriːˈjuːz/
litter,n. 垃圾，废弃物 v. 乱丢东西,10,Chapter 10 物品材料,/ˈlɪtə(r)/
waste,n. 废物；浪费 v. 浪费,10,Chapter 10 物品材料,/weɪst/
junk,n. 无用的东西，废物,10,Chapter 10 物品材料,/dʒʌŋk/
landfill,n. 垃圾填埋地；垃圾填埋,10,Chapter 10 物品材料,/ˈlændfɪl/
sewerage,n. 排水系统，污水处理系统；(= sewage)污水,10,Chapter 10 物品材料,/ˈsuːərɪdʒ/
detergent,n. 洗涤剂,10,Chapter 10 物品材料,/dɪˈtɜːdʒənt/
lotion,n. 洁肤乳；润肤乳,10,Chapter 10 物品材料,/ˈləʊʃn/
shampoo,v. 用洗发剂洗(头发) n. 洗发剂,10,Chapter 10 物品材料,/ʃæmˈpuː/
soap,n. 肥皂 v. 用肥皂擦洗,10,Chapter 10 物品材料,/səʊp/
tub,n. 桶，盆；[ 美 ] 浴缸，浴盆,10,Chapter 10 物品材料,/tʌb/
plug,n. 塞子；插头 v. 把……塞住,10,Chapter 10 物品材料,/plʌɡ/
pipe,n.管子，管道；烟斗,10,Chapter 10 物品材料,/paɪp/
tube,n. 管；(电视机的)显像管；[ 英 ](伦敦)地铁,10,Chapter 10 物品材料,/tjuːb/
mop,n. 拖把 v. 用拖把擦,10,Chapter 10 物品材料,/mɒp/
broom,n. 扫帚 v. 用扫帚扫,10,Chapter 10 物品材料,/bruːm/
sweep,v. 打扫；(迅猛地)吹走；掠过,10,Chapter 10 物品材料,/swiːp/
mattress,n. 床垫,10,Chapter 10 物品材料,/ˈmætrəs/
carpet,n. 地毯，毡毯，毛毯,10,Chapter 10 物品材料,/ˈkɑːpɪt/
rug,n. 小地毯；(盖肩或腿的)小毯子,10,Chapter 10 物品材料,/rʌɡ/
mat,n. 地垫，地席,10,Chapter 10 物品材料,/mæt/
cushion,n. 软垫,10,Chapter 10 物品材料,/ˈkʊʃ(ə)n/
pad,n. 衬垫，垫；便笺本 v.(用软材料)填塞,10,Chapter 10 物品材料,/pæd/
blanket,n. 毛毯，毯子,10,Chapter 10 物品材料,/ˈblæŋkɪt/
quilt,n. 被子,10,Chapter 10 物品材料,/kwɪlt/
sheet,n. 被单，床单；一张(纸)；薄板,10,Chapter 10 物品材料,/ʃiːt/
pillow,n. 枕头,10,Chapter 10 物品材料,/ˈpɪləʊ/
sponge,n. 海绵,10,Chapter 10 物品材料,/spʌndʒ/
towel,n. 毛巾，手巾,10,Chapter 10 物品材料,/ˈtaʊəl/
staple,n. 订书钉；主要部分,10,Chapter 10 物品材料,/ˈsteɪp(ə)l/
nail,n. 指甲；钉子 v.(用钉子)钉住,10,Chapter 10 物品材料,/neɪl/
razor,n. 剃刀 v.(用剃刀)剃,10,Chapter 10 物品材料,/ˈreɪzə(r)/
shave,v. 剃须，刮脸,10,Chapter 10 物品材料,/ʃeɪv/
fuse,n. 保险丝；导火线 v.(使)熔化；(使)融合,10,Chapter 10 物品材料,/fjuːz/
cable,n. 电缆；缆绳，钢索；电报；有线电视,10,Chapter 10 物品材料,/ˈkeɪb(ə)l/
cord,n. 细绳，粗线,10,Chapter 10 物品材料,/kɔːd/
strand,n. 缕，股；滨，岸,10,Chapter 10 物品材料,/strænd/
match,n. 火柴；比赛；匹配的人或物 v. 与……匹配,10,Chapter 10 物品材料,/mætʃ/
candle,n. 蜡烛,10,Chapter 10 物品材料,/ˈkænd(ə)l/
wax,n. 蜡；蜂蜡,10,Chapter 10 物品材料,/wæks/
portfolio,n. 文件夹，公事包,10,Chapter 10 物品材料,/pɔːtˈfəʊliəʊ/
paperback,n. 简装书，平装书,10,Chapter 10 物品材料,/ˈpeɪpəbæk/
pamphlet,n. 小册子,10,Chapter 10 物品材料,/ˈpæmflət/
tissue,n. 薄绢，薄纸；组织；面巾纸,10,Chapter 10 物品材料,/ˈtɪʃuː/
cover,n. 封面；盖子；套子,10,Chapter 10 物品材料,/ˈkʌvə(r)/
Xerox,n.施乐复印件,10,Chapter 10 物品材料,/ˈzɪərɒks/
duplicate,v. 重复 n. 副本，复制品,10,Chapter 10 物品材料,/ˈdjuːplɪkeɪt/
memorandum,n. 备忘录；建议书；(= memo)(公司或组织内部的)公务便条,10,Chapter 10 物品材料,/ˌmeməˈrændəm/
stationery,n. 文具；信纸,10,Chapter 10 物品材料,/ˈsteɪʃənri/
glue,n. 胶，胶水,10,Chapter 10 物品材料,/ɡluː/
ink,n. 墨水，油墨,10,Chapter 10 物品材料,/ɪŋk/
rubber,n. 橡胶；[ 英 ] 橡皮擦,10,Chapter 10 物品材料,/ˈrʌbə(r)/
scissors,n. 剪刀，剪子,10,Chapter 10 物品材料,/ˈsɪzəz/
shear,n. [~s](尤指修剪篱笆用的)大剪刀 v. 剪,10,Chapter 10 物品材料,/ʃɪə(r)/
edge,n. 边缘，边；刀口,10,Chapter 10 物品材料,/edʒ/
rim,n.(圆形物的)外缘，边缘,10,Chapter 10 物品材料,/rɪm/
element,n.(化学中的)元素；组成部分；基本部分,10,Chapter 10 物品材料,/ˈelɪmənt/
factor,n. 因素，要素,10,Chapter 10 物品材料,/ˈfæktə(r)/
