word,meaning,sort,title,phonetic
perfect,adj. 完美的,11,Chapter 11 时尚潮流,/ˈpɜːfɪkt/
extravagant,adj. 奢侈的；过分的,11,Chapter 11 时尚潮流,/ɪkˈstrævəɡənt/
fashion,n. 时尚 v.制作，制成,11,Chapter 11 时尚潮流,/ˈfæʃ(ə)n/
style,n. 风格；样式；时尚,11,Chapter 11 时尚潮流,/staɪl/
trend,n.趋势，倾向,11,Chapter 11 时尚潮流,/trend/
tendency,n. 趋势；倾向，偏好,11,Chapter 11 时尚潮流,/ˈtendənsi/
current,n. 潮流，趋势 adj. 当前的,11,Chapter 11 时尚潮流,/ˈkʌrənt/
popularity,n. 流行,11,Chapter 11 时尚潮流,/ˌpɒpjuˈlærəti/
vogue,n.流行,11,Chapter 11 时尚潮流,/vəʊɡ/
prevail,v.盛行；获胜,11,Chapter 11 时尚潮流,/prɪˈveɪl/
model,n.模型；模范；模特儿v.使模仿,11,Chapter 11 时尚潮流,/ˈmɒd(ə)l/
icon,n.偶像；图标,11,Chapter 11 时尚潮流,/ˈaɪkɒn/
idol,n.偶像，受到崇拜的人或物；神像,11,Chapter 11 时尚潮流,/ˈaɪdl/
luxury,n. 奢侈；奢侈品,11,Chapter 11 时尚潮流,/ˈlʌkʃəri/
jewellery,(= jewelry ) n.珠宝，首饰,11,Chapter 11 时尚潮流,/ˈdʒuːəlri/
jewel,n.宝石,11,Chapter 11 时尚潮流,/ˈdʒuːəl/
gem,n. 宝石；珍品,11,Chapter 11 时尚潮流,/dʒem/
jade,n.玉石，翡翠,11,Chapter 11 时尚潮流,/dʒeɪd/
adorn,v.装饰，装扮,11,Chapter 11 时尚潮流,/əˈdɔːn/
ornament,n.装饰晶 v.装饰,11,Chapter 11 时尚潮流,/ˈɔːnəmənt/
embellish,v.修饰,11,Chapter 11 时尚潮流,/ɪmˈbelɪʃ/
embroider,v.对(故事等)加以渲染；在......上刺绣,11,Chapter 11 时尚潮流,/ɪmˈbrɔɪdə(r)/
hairdressing,n美发，理发,11,Chapter 11 时尚潮流,/ˈheədresɪŋ/
pigment,n.色素；颜料,11,Chapter 11 时尚潮流,/ˈpɪɡmənt/
dye,n.染料；(染上的)颜色v.染,11,Chapter 11 时尚潮流,/daɪ/
masquerade,n. 化装舞会 v. 化装；假扮,11,Chapter 11 时尚潮流,/ˌmæskəˈreɪd; ˌmɑːskəˈreɪd/
veil,n.面纱；遮蔽物,11,Chapter 11 时尚潮流,/veɪl/
costume,n. 戏服；(某历史时期或某地的)服装,11,Chapter 11 时尚潮流,/ˈkɒstjuːm/
fascinate,v.迷住,11,Chapter 11 时尚潮流,/ˈfæsɪneɪt/
decent,adj. 得体的；尚好的,11,Chapter 11 时尚潮流,/ˈdiːsnt/
exquisite,adj.精致的；雅致的,11,Chapter 11 时尚潮流,/ɪkˈskwɪzɪt/
grace,n.优美，优雅,11,Chapter 11 时尚潮流,/ɡreɪs/
elegance,n.文雅，典雅,11,Chapter 11 时尚潮流,/ˈelɪɡəns/
appearance,n.外貌；出现,11,Chapter 11 时尚潮流,/əˈpɪərəns/
cosmetics,n.化妆品,11,Chapter 11 时尚潮流,/kɒzˈmetɪks/
make-up,n. 化妆品；组成成分；性格,11,Chapter 11 时尚潮流,/ˈmeɪk ʌp/
handsome,adj.数量大的；英俊的,11,Chapter 11 时尚潮流,/ˈhænsəm/
charming,adj.迷人的,11,Chapter 11 时尚潮流,/ˈtʃɑːmɪŋ/
pretty,adj.漂亮的adv.相当地,11,Chapter 11 时尚潮流,/ˈprɪti/
beautiful,adj.美丽的,11,Chapter 11 时尚潮流,/ˈbjuːtɪf(ə)l/
ugly,adj.丑陋的,11,Chapter 11 时尚潮流,/ˈʌɡli/
dress,n.衣服；连衣帽,11,Chapter 11 时尚潮流,/dres/
clothe,v. 给......穿衣；为……提供衣服,11,Chapter 11 时尚潮流,/kləʊð/
uniform,n.制服adj.一致的,11,Chapter 11 时尚潮流,/ˈjuːnɪfɔːm/
garment,n. (一件)衣服,11,Chapter 11 时尚潮流,/ˈɡɑːmənt/
laundry,n.洗衣店；要(或正在)洗的衣物，刚洗好的衣物,11,Chapter 11 时尚潮流,/ˈlɔːndri/
wardrobe,n.衣柜；(某人的)全部服装,11,Chapter 11 时尚潮流,/ˈwɔːdrəʊb/
overall,n. ［英］(工作时穿的)罩衣，adj.全面的,11,Chapter 11 时尚潮流,/ˌəʊvərˈɔːl/
overcoat,n.大衣,11,Chapter 11 时尚潮流,/ˈəʊvəkəʊt/
robe,n.长袍；浴袍,11,Chapter 11 时尚潮流,/rəʊb/
gown,n. 长外衣；女礼服,11,Chapter 11 时尚潮流,/ɡaʊn/
sweater,n.毛衣，线衣,11,Chapter 11 时尚潮流,/ˈswetə(r)/
jacket,n.夹克衫,11,Chapter 11 时尚潮流,/ˈdʒækɪt/
skirt,n.裙子,11,Chapter 11 时尚潮流,/skɜːt/
jeans,n.牛仔裤,11,Chapter 11 时尚潮流,/dʒiːnz/
trousers,n. ［尤英］裤子,11,Chapter 11 时尚潮流,/ˈtraʊzəz/
clasp,n.搭扣 v.扣住,11,Chapter 11 时尚潮流,/klɑːsp/
button,n. 纽扣；按钮 v.扣上......的纽扣,11,Chapter 11 时尚潮流,/ˈbʌt(ə)n/
wrap,V.裹，包；用......缠绕,11,Chapter 11 时尚潮流,/ræp/
chain,n.连锁店；一连串(人或事物),11,Chapter 11 时尚潮流,/tʃeɪn/
glove,n.手套,11,Chapter 11 时尚潮流,/ɡlʌv/
hat,n.(常指带惰的)帽子,11,Chapter 11 时尚潮流,/hæt/
cap,n.(有帽舌的)帽子(经费等的)最高限额,11,Chapter 11 时尚潮流,/kæp/
brim,n.边缘；帽檐,11,Chapter 11 时尚潮流,/brɪm/
scarf,n.围巾，头巾,11,Chapter 11 时尚潮流,/skɑːf/
handkerchief,n.手帕,11,Chapter 11 时尚潮流,/ˈhæŋkətʃɪf/
purse,n. ［尤英］钱包；［美］小手提包,11,Chapter 11 时尚潮流,/pɜːs/
wallet,n.钱包，皮夹子,11,Chapter 11 时尚潮流,/ˈwɒlɪt/
vest,n. ［英］汗衫；［美］西装背心,11,Chapter 11 时尚潮流,/vest/
cloak,n.斗篷；覆盖物,11,Chapter 11 时尚潮流,/kləʊk/
collar,n.衣领；项圈,11,Chapter 11 时尚潮流,/ˈkɒlə(r)/
sleeve,n.袖子,11,Chapter 11 时尚潮流,/sliːv/
sock,n.短袜,11,Chapter 11 时尚潮流,/sɒk/
stocking,n. (女式)长筒袜,11,Chapter 11 时尚潮流,/ˈstɒkɪŋ/
slipper,n.拖鞋,11,Chapter 11 时尚潮流,/ˈslɪpə(r)/
