word,meaning,sort,title,phonetic
order,n.次序；整齐 v.命令,12,Chapter 12 饮食健康,/ˈɔːdə(r)/
food,n.食物,12,Chapter 12 饮食健康,/fuːd/
diet,n.日常饮食；(医生指定的)特别饮食；节食,12,Chapter 12 饮食健康,/ˈdaɪət/
appetite,n.食欲；强烈欲望,12,Chapter 12 饮食健康,/ˈæpɪtaɪt/
treat,v.请(客)对待治疗,12,Chapter 12 饮食健康,/triːt/
cater,v.为……提供饮食；满足......的需要,12,Chapter 12 饮食健康,/ˈkeɪtə(r)/
provision,n.供应；预备；【~s】食品供应,12,Chapter 12 饮食健康,/prəˈvɪʒ(ə)n/
edible,adj.可以吃的,12,Chapter 12 饮食健康,/ˈedəb(ə)l/
recipe,n.食谱；秘诀,12,Chapter 12 饮食健康,/ˈresəpɪ/
restaurant,n.餐馆,12,Chapter 12 饮食健康,/ˈrestrɒnt/
refectory,n. (学校或其他机构的)食堂，餐厅,12,Chapter 12 饮食健康,/rɪˈfektəri/
bar,n.酒吧；吧台,12,Chapter 12 饮食健康,/bɑː(r)/
cafeteria,n.自助餐厅,12,Chapter 12 饮食健康,/ˌkæfəˈtɪəriə/
buffet,n.自助餐,12,Chapter 12 饮食健康,/ˈbʌfeɪ; ˈbʊfeɪ/
barbecue,n.烧烤野餐；烤架  v.烧烤,12,Chapter 12 饮食健康,/ˈbɑːbɪkjuː/
supper,n.晚餐,12,Chapter 12 饮食健康,/ˈsʌpə(r)/
banquet,n.宴会,12,Chapter 12 饮食健康,/ˈbæŋkwɪt/
refreshment,n.【~s】茶点，点心,12,Chapter 12 饮食健康,/rɪˈfreʃmənt/
snack,n.快餐，小吃，零食,12,Chapter 12 饮食健康,/snæk/
appetiser,( = appetizer) n.开胃饮料，开胃小吃,12,Chapter 12 饮食健康,/ˈæpəˌtaɪzə(r)/
cuisine,n.菜肴；烹饪,12,Chapter 12 饮食健康,/kwɪˈziːn/
menu,n.菜单,12,Chapter 12 饮食健康,/ˈmenjuː/
takeaway,n.【英】外卖餐馆，外卖食物,12,Chapter 12 饮食健康,/ˈteɪkəweɪ/
chef,n.厨师,12,Chapter 12 饮食健康,/ʃef/
gourmet,n.美食家  adj.美味佳肴的,12,Chapter 12 饮食健康,/ˈɡʊəmeɪ/
vegetarian,n.素食者  adj.素食的无肉的,12,Chapter 12 饮食健康,/ˌvedʒəˈteəriən/
cutlery,n.餐具；刀具,12,Chapter 12 饮食健康,/ˈkʌtləri/
silver,n.银；银器adj，银的；银色的,12,Chapter 12 饮食健康,/ˈsɪlvə(r)/
ceramic,adj.陶瓷的 n.陶瓷制品,12,Chapter 12 饮食健康,/səˈræmɪk/
porcelain,n.瓷器；瓷,12,Chapter 12 饮食健康,/ˈpɔːsəlɪn/
bowl,n.碗,12,Chapter 12 饮食健康,/bəʊl/
dish,n.碟；菜肴,12,Chapter 12 饮食健康,/dɪʃ/
saucer,n.茶托，茶碟,12,Chapter 12 饮食健康,/ˈsɔːsə(r)/
tray,n.盘，托盘,12,Chapter 12 饮食健康,/treɪ/
fork,n.餐叉；分岔处,12,Chapter 12 饮食健康,/fɔːk/
knife,n.刀,12,Chapter 12 饮食健康,/naɪf/
spoon,n. 匙，调羹,12,Chapter 12 饮食健康,/spuːn/
glass,n.玻璃；玻璃杯,12,Chapter 12 饮食健康,/ɡlɑːs/
mug,n.大杯，马克杯,12,Chapter 12 饮食健康,/mʌɡ/
kettle,n.水壶【美】锅,12,Chapter 12 饮食健康,/ˈket(ə)l/
pan,n.平底锅【美】烤盘,12,Chapter 12 饮食健康,/pæn/
pot,n.锅；壶,12,Chapter 12 饮食健康,/pɒt/
stove,n.炉子,12,Chapter 12 饮食健康,/stəʊv/
furnace,n.熔炉,12,Chapter 12 饮食健康,/ˈfɜːnɪs/
oven,n.烤炉，烤箱,12,Chapter 12 饮食健康,/ˈʌv(ə)n/
tin,n.锡；罐头,12,Chapter 12 饮食健康,/tɪn/
lid,n.盖子,12,Chapter 12 饮食健康,/lɪd/
drink,v.饮，喝；喝酒n.饮料,12,Chapter 12 饮食健康,/drɪŋk/
beverage,n. (水以外的)饮料,12,Chapter 12 饮食健康,/ˈbevərɪdʒ/
juice,n.果汁，菜汁,12,Chapter 12 饮食健康,/dʒuːs/
soda,n.无水碳酸钠；苏打水；【美】汽水,12,Chapter 12 饮食健康,/ˈsəʊdə/
coffee,n.咖啡,12,Chapter 12 饮食健康,/ˈkɒfi/
alcohol,n.酒精，乙醇酒,12,Chapter 12 饮食健康,/ˈælkəhɒl/
liquor,n.烈性酒,12,Chapter 12 饮食健康,/ˈlɪkə(r)/
whisky,(=whiskey) n.威士忌酒,12,Chapter 12 饮食健康,/ˈwɪski/
brandy,n.白兰地酒,12,Chapter 12 饮食健康,/ˈbrændi/
drunk,adj.醉的,12,Chapter 12 饮食健康,/drʌŋk/
peel,V. 剥落；掉漆；脱皮,12,Chapter 12 饮食健康,/piːl/
tobacco,n.烟草,12,Chapter 12 饮食健康,/təˈbækəʊ/
cigarette,n.香烟,12,Chapter 12 饮食健康,/ˌsɪɡəˈret/
sober,adj.清醒的头脑清醒的  v.(使)醒酒,12,Chapter 12 饮食健康,/ˈsəʊbə(r)/
vegetable,n.蔬菜,12,Chapter 12 饮食健康,/ˈvedʒtəb(ə)l/
tomato,n.番茄,12,Chapter 12 饮食健康,/təˈmɑːtəʊ/
potato,n.马铃薯,12,Chapter 12 饮食健康,/pəˈteɪtəʊ/
pea,n.豌豆,12,Chapter 12 饮食健康,/piː/
bean,n.豆,12,Chapter 12 饮食健康,/biːn/
cucumber,n.黄瓜,12,Chapter 12 饮食健康,/ˈkjuːkʌmbə(r)/
cabbage,n.洋白菜，卷心菜，甘蓝,12,Chapter 12 饮食健康,/ˈkæbɪdʒ/
onion,n.洋葱,12,Chapter 12 饮食健康,/ˈʌnjən/
mushroom,n.蘑菇  v.呈蘑菇状扩散,12,Chapter 12 饮食健康,/ˈmʌʃrʊm/
eggplant,n.茄子,12,Chapter 12 饮食健康,/ˈeɡplɑːnt/
carrot,n.胡萝卜,12,Chapter 12 饮食健康,/ˈkærət/
turnip,n.芜菁,12,Chapter 12 饮食健康,/ˈtɜːnɪp/
radish,n.樱桃萝卜,12,Chapter 12 饮食健康,/ˈrædɪʃ/
fruit,n.水果，成果；v.结果实,12,Chapter 12 饮食健康,/fruːt/
strip,v.剥去，除去  n.条，带,12,Chapter 12 饮食健康,/strɪp/
core,n.果核,12,Chapter 12 饮食健康,/kɔː(r)/
hull,n.(果实等的)外壳；船体 v.剥去(果实等的)外壳,12,Chapter 12 饮食健康,/hʌl/
cherry,n.樱桃；樱桃树,12,Chapter 12 饮食健康,/ˈtʃeri/
berry,n.浆果,12,Chapter 12 饮食健康,/ˈberi/
grape,n.葡萄,12,Chapter 12 饮食健康,/ɡreɪp/
papaya,n.番木瓜,12,Chapter 12 饮食健康,/pəˈpaɪə/
peach,n.桃子,12,Chapter 12 饮食健康,/piːtʃ/
pear,n.梨,12,Chapter 12 饮食健康,/peə(r)/
plum,n.李子；梅子,12,Chapter 12 饮食健康,/plʌm/
orange,n.橙子,12,Chapter 12 饮食健康,/ˈɒrɪndʒ/
melon,n.瓜，甜瓜,12,Chapter 12 饮食健康,/ˈmelən/
lemon,n.柠檬,12,Chapter 12 饮食健康,/ˈlemən/
kiwi,n.猕猴桃，奇异果,12,Chapter 12 饮食健康,/ˈkiːwi/
crop,n.庄稼；收成，产量,12,Chapter 12 饮食健康,/krɒp/
corn,n.【英】(小麦等)谷物【美】玉米,12,Chapter 12 饮食健康,/kɔːn/
grain,n.谷物；颗粒,12,Chapter 12 饮食健康,/ɡreɪn/
wheat,n.小麦,12,Chapter 12 饮食健康,/wiːt/
reap,v.收割；收获,12,Chapter 12 饮食健康,/riːp/
flour,n.面粉；粉状物质,12,Chapter 12 饮食健康,/ˈflaʊə(r)/
porridge,n.麦片粥,12,Chapter 12 饮食健康,/ˈpɒrɪdʒ/
paste,n.糨糊；面团,12,Chapter 12 饮食健康,/peɪst/
livestock,n.家畜,12,Chapter 12 饮食健康,/ˈlaɪvstɒk/
chicken,n.鸡,12,Chapter 12 饮食健康,/ˈtʃɪkɪn/
turkey,n.火鸡,12,Chapter 12 饮食健康,/ˈtɜːki/
beef,n.牛肉,12,Chapter 12 饮食健康,/biːf/
pork,n.猪肉,12,Chapter 12 饮食健康,/pɔːk/
mutton,n.羊肉,12,Chapter 12 饮食健康,/ˈmʌtn/
sausage,n.香肠,12,Chapter 12 饮食健康,/ˈsɒsɪdʒ/
fish,n.鱼v.钓鱼,12,Chapter 12 饮食健康,/fɪʃ/
pond,n.池塘,12,Chapter 12 饮食健康,/pɒnd/
rod,n.杆，竿,12,Chapter 12 饮食健康,/rɒd/
dairy,n.乳制品；乳品店  adj.乳制的,12,Chapter 12 饮食健康,/ˈdeəri/
milk,n.奶 v.挤奶,12,Chapter 12 饮食健康,/mɪlk/
yogurt,n.酸奶,12,Chapter 12 饮食健康,/ˈjɒɡət/
cream,n.奶油,12,Chapter 12 饮食健康,/kriːm/
cheese,n.奶酪,12,Chapter 12 饮食健康,/tʃiːz/
supplement,n. 营养补剂；补贴   v. 增补，补充,12,Chapter 12 饮食健康,/ˈsʌplɪmənt/
butter,n.黄油v.涂黄油,12,Chapter 12 饮食健康,/ˈbʌtə(r)/
salad,n.色拉,12,Chapter 12 饮食健康,/ˈsæləd/
