word,meaning,sort,title,phonetic
shed,n. 简易房，棚  v. 流，洒；摆脱,13,Chapter 13 建筑场所,/ʃed/
architecture,n.建筑风格；建筑学,13,Chapter 13 建筑场所,/ˈɑːkɪtektʃə(r)/
erection,n.建筑，建造,13,Chapter 13 建筑场所,/ɪˈrekʃn/
structure,n.建筑物；结构,13,Chapter 13 建筑场所,/ˈstrʌktʃə(r)/
construct,v.建造,13,Chapter 13 建筑场所,/kənˈstrʌkt/
obstruct,v.阻塞；妨碍,13,Chapter 13 建筑场所,/əbˈstrʌkt/
establish,v.建立，设立,13,Chapter 13 建筑场所,/ɪˈstæblɪʃ/
build,v.建造；开发,13,Chapter 13 建筑场所,/bɪld/
found,v.创建，创办,13,Chapter 13 建筑场所,/faʊnd/
concrete,n.混凝土 adj.具体的混凝土制的,13,Chapter 13 建筑场所,/ˈkɒŋkriːt/
steel,n.钢铁,13,Chapter 13 建筑场所,/stiːl/
stability,n.稳定(性),13,Chapter 13 建筑场所,/stəˈbɪləti/
site,n.地点,13,Chapter 13 建筑场所,/saɪt/
venue,n.发生地点，举行场所,13,Chapter 13 建筑场所,/ˈvenjuː/
landmark,n.地标；里程碑,13,Chapter 13 建筑场所,/ˈlændmɑːk/
situated,adj.位于......的,13,Chapter 13 建筑场所,/ˈsɪtʃueɪtɪd/
locate,v.放置，建立找到,13,Chapter 13 建筑场所,/ləʊˈkeɪt/
reside,v.居住,13,Chapter 13 建筑场所,/rɪˈzaɪd/
inhabit,v.居住于,13,Chapter 13 建筑场所,/ɪnˈhæbɪt/
migrate,v.迁徙；移居,13,Chapter 13 建筑场所,/maɪˈɡreɪt/
settle,v.解决在……定居，使定居,13,Chapter 13 建筑场所,/ˈset(ə)l/
dwelling,n.住所,13,Chapter 13 建筑场所,/ˈdwelɪŋ/
skyscraper,n摩天大楼,13,Chapter 13 建筑场所,/ˈskaɪskreɪpə(r)/
villa,n.乡间别墅；［英］度假别墅,13,Chapter 13 建筑场所,/ˈvɪlə/
mansion,n.宅第，公馆,13,Chapter 13 建筑场所,/ˈmænʃ(ə)n/
apartment,n. [美］公寓套房,13,Chapter 13 建筑场所,/əˈpɑːtmənt/
flat,n.【尤英】单元房，公寓,13,Chapter 13 建筑场所,/flæt/
hostel,n.廉价招待所,13,Chapter 13 建筑场所,/ˈhɒst(ə)l/
lodge,v.租住 n.小屋；度假屋,13,Chapter 13 建筑场所,/lɒdʒ/
hut,n.小屋，棚屋,13,Chapter 13 建筑场所,/hʌt/
cabin,n.小木屋；(船上的)小舱,13,Chapter 13 建筑场所,/ˈkæbɪn/
cellar,n.地窑，地下室,13,Chapter 13 建筑场所,/ˈselə(r)/
cottage,"n.村舍,小屋",13,Chapter 13 建筑场所,/ˈkɒtɪdʒ/
nursery,n.托儿所adj.托儿所的,13,Chapter 13 建筑场所,/ˈnɜːsərɪ/
cradle,n.摇篮发源地,13,Chapter 13 建筑场所,/ˈkreɪd(ə)l/
shelter,n. 庇护处；掩蔽 v. 庇护；遮蔽,13,Chapter 13 建筑场所,/ˈʃeltə(r)/
block,n.街区；障碍；一块,13,Chapter 13 建筑场所,/blɒk/
grid,n.栅栏；网格；输电网,13,Chapter 13 建筑场所,/ɡrɪd/
aisle,n.走廊，过道,13,Chapter 13 建筑场所,/aɪl/
porch,n.门廊,13,Chapter 13 建筑场所,/pɔːtʃ/
corridor,n.走廊，通道,13,Chapter 13 建筑场所,/ˈkɒrɪdɔː(r)/
stair,n.楼梯,13,Chapter 13 建筑场所,/steə(r)/
