word,meaning,sort,title,phonetic
navigate,v.航行；横渡,14,Chapter 14 交通旅行,/ˈnævɪɡeɪt/
voyage,n.航海，航天；航行,14,Chapter 14 交通旅行,/ˈvɔɪɪdʒ/
aviation,n.航空；航空学；航空工业,14,Chapter 14 交通旅行,/ˌeɪviˈeɪʃ(ə)n/
journey,n.旅行；历程,14,Chapter 14 交通旅行,/ˈdʒɜːni/
travel,n.旅行  v. 旅行,14,Chapter 14 交通旅行,/ˈtræv(ə)l/
safari,n. (尤指在东非的)观兽旅行,14,Chapter 14 交通旅行,/səˈfɑːri/
parade,n.游行；炫耀n.庆祝游行；列队行选；炫耀,14,Chapter 14 交通旅行,/pəˈreɪd/
haunt,v.(鬼魂等｝常出没于n.常去的地方,14,Chapter 14 交通旅行,/hɔːnt/
attraction,n. 吸引；具有吸引力的事物,14,Chapter 14 交通旅行,/əˈtrækʃ(ə)n/
memorial,n.纪念碑adj.纪念的，悼念的,14,Chapter 14 交通旅行,/məˈmɔːriəl/
pyramid,n. 金字塔；棱锥体,14,Chapter 14 交通旅行,/ˈpɪrəmɪd/
port,n.港口；左舷,14,Chapter 14 交通旅行,/pɔːt/
visa,n.签证,14,Chapter 14 交通旅行,/ˈviːzə/
traffic,n.交通，车流,14,Chapter 14 交通旅行,/ˈtræfɪk/
airline,n.航空公司,14,Chapter 14 交通旅行,/ˈeəlaɪn/
airplane,n.飞机,14,Chapter 14 交通旅行,/ˈeəpleɪn/
helicopter,n.直升机v.用直升机载送；乘直升机旅行,14,Chapter 14 交通旅行,/ˈhelɪkɒptə(r)/
jet,n. 喷气式飞机；喷射口,14,Chapter 14 交通旅行,/dʒet/
parachute,n.降落伞,14,Chapter 14 交通旅行,/ˈpærəʃuːt/
flight,n.飞行；航班,14,Chapter 14 交通旅行,/flaɪt/
pilot,n.飞行员,14,Chapter 14 交通旅行,/ˈpaɪlət/
passenger,n.乘客,14,Chapter 14 交通旅行,/ˈpæsɪndʒə(r)/
baggage,n. ［尤美］行李,14,Chapter 14 交通旅行,/ˈbæɡɪdʒ/
luggage,n.行李,14,Chapter 14 交通旅行,/ˈlʌɡɪdʒ/
suitcase,n.手提箱,14,Chapter 14 交通旅行,/ˈsuːtkeɪs/
carry-on,n.［美］(可随身携带上飞机的)小包adj.随身携带上飞机的,14,Chapter 14 交通旅行,/ˈkæri ɒn/
rack,n搁物架，挂物架,14,Chapter 14 交通旅行,/ræk/
freight,n.货运；货物v.运送｛货物),14,Chapter 14 交通旅行,/freɪt/
atlas,n.地图册，地图集,14,Chapter 14 交通旅行,/ˈætləs/
fare,n. 车费，路费,14,Chapter 14 交通旅行,/feə(r)/
route,n.路线,14,Chapter 14 交通旅行,/ruːt/
itinerary,n.行程，路线,14,Chapter 14 交通旅行,/aɪˈtɪnərəri/
passage,n.通过；通道，走廊,14,Chapter 14 交通旅行,/ˈpæsɪdʒ/
intersection,n.十字路口，交叉路口,14,Chapter 14 交通旅行,/ˌɪntəˈsekʃn/
cross,n. 十字形；十字架 v.穿过,14,Chapter 14 交通旅行,/krɒs/
way,n. 路；方式,14,Chapter 14 交通旅行,/weɪ/
path,n.小路,14,Chapter 14 交通旅行,/pɑːθ/
lane,n.小巷；车道,14,Chapter 14 交通旅行,/leɪn/
avenue,n.大街；途径,14,Chapter 14 交通旅行,/ˈævənjuː/
highway,n. ［尤美］公路,14,Chapter 14 交通旅行,/ˈhaɪweɪ/
curb,n.路缘；起控制作用的事物,14,Chapter 14 交通旅行,/kɜːb/
signpost,n.路标,14,Chapter 14 交通旅行,/ˈsaɪnpəʊst/
pave,V.铺(路或地面),14,Chapter 14 交通旅行,/peɪv/
vehicle,n.车辆，交通工具；工具，手段,14,Chapter 14 交通旅行,/ˈviːəkl/
auto,n.汽车,14,Chapter 14 交通旅行,/ˈɔːtəʊ/
express,n. 特快列车；快递服务 v. 表示 adj. 特快的,14,Chapter 14 交通旅行,/ɪkˈspres/
tram,n. ［尤英］有轨电车,14,Chapter 14 交通旅行,/træm/
