word,meaning,sort,title,phonetic
republic,n.共和国，共和政体,15,Chapter 15 国家政府,/rɪˈpʌblɪk/
Marxism,n.马克思主义,15,Chapter 15 国家政府,/ˈmɑːksɪzəm/
socialism,n.社会主义,15,Chapter 15 国家政府,/ˈsəʊʃəlɪz(ə)m/
communism,n.共产主义,15,Chapter 15 国家政府,/ˈkɒmjənɪzəm/
regime,n.统治制度，政权，政体,15,Chapter 15 国家政府,/reɪˈʒiːm/
government,n.政府；政体；统治,15,Chapter 15 国家政府,/ˈɡʌvənmənt/
authority,n. 权力；权威人士；行政管理机构；［the authorities］当局,15,Chapter 15 国家政府,/ɔːˈθɒrətɪ/
political,adj.政治的；政党的,15,Chapter 15 国家政府,/pəˈlɪtɪk(ə)l/
hierarchy,n.等级制度；统治集团,15,Chapter 15 国家政府,/ˈhaɪərɑːki/
democracy,n.民主，民主制度；民主国家,15,Chapter 15 国家政府,/dɪˈmɒkrəsi/
bureaucracy,n.官僚制度；官僚作风,15,Chapter 15 国家政府,/bjʊəˈrɒkrəsi/
egalitarian,adj.平等主义的，n.平等主义者,15,Chapter 15 国家政府,/iˌɡælɪˈteəriən/
materialism,n.唯物主义；唯物论,15,Chapter 15 国家政府,/məˈtɪəriəlɪzəm/
revolution,n.革命；巨大变化,15,Chapter 15 国家政府,/ˌrevəˈluːʃn/
reform,n.改革，改良v.改革，改良；(使｝改过自新,15,Chapter 15 国家政府,/rɪˈfɔːm/
process,n. 过程，进程 v. 处理；加工 v. 列队前进,15,Chapter 15 国家政府,/ˈprəʊses/
conservative,adj.保守的n.保守党党员,15,Chapter 15 国家政府,/kənˈsɜːvətɪv/
meltdown,n. (核反应堆的)堆芯熔毁；崩溃,15,Chapter 15 国家政府,/ˈmeltdaʊn/
municipal,adj.市政的，地方政府的,15,Chapter 15 国家政府,/mjuːˈnɪsɪp(ə)l/
neutral,adj.中立的；中立国的,15,Chapter 15 国家政府,/ˈnjuːtrəl/
bilateral,adj.双边的,15,Chapter 15 国家政府,/ˌbaɪˈlætərəl/
arena,n. 竞技场，运动场；舞台，活动领域,15,Chapter 15 国家政府,/əˈriːnə/
flag,n. 旗，旗帜,15,Chapter 15 国家政府,/flæɡ/
banner,n.横幅，标语,15,Chapter 15 国家政府,/ˈbænə(r)/
president,n. 总统；校长；董事长,15,Chapter 15 国家政府,/ˈprezɪdənt/
premier,n.总理，首相；adj.首要的，第一的,15,Chapter 15 国家政府,/ˈpremiə(r)/
minister,n.部长，大臣；公使,15,Chapter 15 国家政府,/ˈmɪnɪstə(r)/
secretary,n秘书；书记员；大臣,15,Chapter 15 国家政府,/ˈsekrət(ə)ri/
