word,meaning,sort,title,phonetic
economy,n.经济；节约,16,Chapter 16 社会经济,/ɪˈkɒnəmi/
trade,n.贸易  v.交换,16,Chapter 16 社会经济,/treɪd/
market,n.市场；市场需求,16,Chapter 16 社会经济,/ˈmɑːkɪt/
industry,n. 工业；产业；勤劳,16,Chapter 16 社会经济,/ˈɪndəstrɪ/
merchant,n.商人  adj.商业的,16,Chapter 16 社会经济,/ˈmɜːtʃənt/
financial,adj.财政的；金融的,16,Chapter 16 社会经济,/faɪˈnænʃ(ə)l/
fund,v. 资助 n. 基金；［～］资金,16,Chapter 16 社会经济,/fʌnd/
donate,V.捐赠，捐献,16,Chapter 16 社会经济,/dəʊˈneɪt/
endow,v.捐赠；赋予,16,Chapter 16 社会经济,/ɪnˈdaʊ/
commercial,adj.商业的  n.商业广告,16,Chapter 16 社会经济,/kəˈmɜːʃ(ə)l/
advertise,v.做广告,16,Chapter 16 社会经济,/ˈædvətaɪz/
slogan,n.标语，口号,16,Chapter 16 社会经济,/ˈsləʊɡən/
purchase,n.购买  v.购买,16,Chapter 16 社会经济,/ˈpɜːtʃəs/
lease,n.租约  v.出租；租用,16,Chapter 16 社会经济,/liːs/
afford,v.负担得起；提供，给予,16,Chapter 16 社会经济,/əˈfɔːd/
retail,n.零售  v.零售；以......价格零售,16,Chapter 16 社会经济,/ˈriːteɪl/
chain,n.连锁店；一连串(人或事物),16,Chapter 16 社会经济,/tʃeɪn/
grocery,n.食品杂货店,16,Chapter 16 社会经济,/ˈɡrəʊsəri/
discount,n. 折扣 v. 打折出售,16,Chapter 16 社会经济,/ˈdɪskaʊnt/
promotion,n.促销活动；晋升,16,Chapter 16 社会经济,/prəˈməʊʃ(ə)n/
voucher,n.代金券,16,Chapter 16 社会经济,/ˈvaʊtʃə(r)/
coupon,n.优惠券,16,Chapter 16 社会经济,/ˈkuːpɒn/
currency,n.货币；通用，流行,16,Chapter 16 社会经济,/ˈkʌrənsi/
exchange,n.交换；兑换,16,Chapter 16 社会经济,/ɪksˈtʃeɪndʒ/
swap,v.交换(= swop )  n. 交换物,16,Chapter 16 社会经济,/swɒp/
receipt,n.收据；收到,16,Chapter 16 社会经济,/rɪˈsiːt/
invoice,n.发票  v.开发票给,16,Chapter 16 社会经济,/ˈɪnvɔɪs/
tax,n.税  v.对......征税,16,Chapter 16 社会经济,/tæks/
levy,n.税款  v.征收，征(税),16,Chapter 16 社会经济,/ˈlevi/
tariff,n.关税；(公共服务的)收费,16,Chapter 16 社会经济,/ˈtærɪf/
duty,n.职责；义务；关税,16,Chapter 16 社会经济,/ˈdjuːtɪ/
impose,v.强加；征收(税款),16,Chapter 16 社会经济,/ɪmˈpəʊz/
consume,v. 消耗；吃，喝,16,Chapter 16 社会经济,/kənˈsjuːm/
spend,v.花费  n.开支,16,Chapter 16 社会经济,/spend/
cost,v. 需付费 n. 费用；代价；［~s］成本,16,Chapter 16 社会经济,/kɒst/
expense,n.费用，花费,16,Chapter 16 社会经济,/ɪkˈspens/
revenue,n. (公司、组织的)收入；(政府的)税收，财政收入,16,Chapter 16 社会经济,/ˈrevənjuː/
gross,adj.总的，毛的,16,Chapter 16 社会经济,/ɡrəʊs/
recession,n. 经济衰退,16,Chapter 16 社会经济,/rɪˈseʃ(ə)n/
depression,n.沮丧，消沉；萧条期，不景气,16,Chapter 16 社会经济,/dɪˈpreʃn/
crisis,n.危机,16,Chapter 16 社会经济,/ˈkraɪsɪs/
security,n.安全工作；安全；［securities］证券,16,Chapter 16 社会经济,/sɪˈkjʊərəti/
bond,n. 债券,16,Chapter 16 社会经济,/bɒnd/
debt,n.债务,16,Chapter 16 社会经济,/det/
deficit,n.赤字，逆差,16,Chapter 16 社会经济,/ˈdefɪsɪt/
inflation,n.通货膨胀,16,Chapter 16 社会经济,/ɪnˈfleɪʃ(ə)n/
deflation,n.通货紧缩,16,Chapter 16 社会经济,/ˌdiːˈfleɪʃn/
dwindle,v. 缩小，减少,16,Chapter 16 社会经济,/ˈdwɪnd(ə)l/
decrease,n. 减少，减小 v. (使)减少，(使)减小,16,Chapter 16 社会经济,/dɪˈkriːs/
downsize,v.使精简；裁员,16,Chapter 16 社会经济,/ˈdaʊnsaɪz/
decline,v.下降 n.下降,16,Chapter 16 社会经济,/dɪˈklaɪn/
diminish,v. (使) 减少；贬低,16,Chapter 16 社会经济,/dɪˈmɪnɪʃ/
reduce,v.减少，减小,16,Chapter 16 社会经济,/rɪˈdjuːs/
increase,n. 增加，增长 v. (使)增加，(使)增长,16,Chapter 16 社会经济,/ɪnˈkriːs/
increment,n.增加量；定期的加薪,16,Chapter 16 社会经济,/ˈɪŋkrəmənt/
growth,n.增长；生长,16,Chapter 16 社会经济,/ɡrəʊθ/
enrich,v. 使富有；充实,16,Chapter 16 社会经济,/ɪnˈrɪtʃ/
export,v. 出口 n. 出口；出口商品,16,Chapter 16 社会经济,/ɪkˈspɔːt; ˈekspɔːt/
import,v. 进口 n. 进口；进口商品,16,Chapter 16 社会经济,/ˈɪmpɔːt/
dividend,n. 股息，红利,16,Chapter 16 社会经济,/ˈdɪvɪdend/
escalate,v. (使)逐步升级，(使)不断恶化,16,Chapter 16 社会经济,/ˈeskəleɪt/
expand,v.扩充，扩大；扩展,16,Chapter 16 社会经济,/ɪkˈspænd/
influx,n.流入，涌进,16,Chapter 16 社会经济,/ˈɪnflʌks/
affluent,adj. 富裕的，富足的,16,Chapter 16 社会经济,/ˈæfluənt/
sufficient,adj.足够的,16,Chapter 16 社会经济,/səˈfɪʃ(ə)nt/
adequate,adj.足够的；合格的,16,Chapter 16 社会经济,/ˈædɪkwət/
spare,adj. 多余的，空闲的 v. 剩余,16,Chapter 16 社会经济,/speə(r)/
saving,n.节约，节省,16,Chapter 16 社会经济,/ˈseɪvɪŋ/
redundant,adj.多余的；被裁减的,16,Chapter 16 社会经济,/rɪˈdʌndənt/
lack,n. 缺乏，不足 v. 缺少，没有,16,Chapter 16 社会经济,/læk/
company,n.公司；陪伴；剧团,16,Chapter 16 社会经济,/ˈkʌmpəni/
firm,n.公司  adj.坚定的；坚固的,16,Chapter 16 社会经济,/fɜːm/
enterprise,n.企业；事业,16,Chapter 16 社会经济,/ˈentəpraɪz/
agent,n.代理人，代理商,16,Chapter 16 社会经济,/ˈeɪdʒənt/
entity,n.实体，独立存在物,16,Chapter 16 社会经济,/ˈentəti/
invest,v.投资；投入,16,Chapter 16 社会经济,/ɪnˈvest/
input,n.输入信息；投入物,16,Chapter 16 社会经济,/ˈɪnpʊt/
product,n. 产品；产物,16,Chapter 16 社会经济,/ˈprɒdʌkt/
acquisition,n.获得；(对公司的)并购,16,Chapter 16 社会经济,/ˌækwɪˈzɪʃ(ə)n/
goods,n. 商品，货物,16,Chapter 16 社会经济,/ɡʊdz/
cargo,n.货物,16,Chapter 16 社会经济,/ˈkɑːɡəʊ/
insure,v.确保；给......上保险,16,Chapter 16 社会经济,/ɪnˈʃʊə(r)/
guarantee,v.担保；确保  n.保证；保修单；担保金，担保物,16,Chapter 16 社会经济,/ˌɡærənˈtiː/
reliable,adj.可靠的，可信赖的,16,Chapter 16 社会经济,/rɪˈlaɪəb(ə)l/
negotiation,n.谈判，协商,16,Chapter 16 社会经济,/nɪˌɡəʊʃiˈeɪʃn/
attend,v.参加，出席,16,Chapter 16 社会经济,/əˈtend/
absent,adj.不在场的，缺席的；心不在焉的,16,Chapter 16 社会经济,/ˈæbsənt/
sale,n.卖，销售；销售额,16,Chapter 16 社会经济,/seɪl/
wholesale,n.批发,16,Chapter 16 社会经济,/ˈhəʊlseɪl/
auction,v.拍卖 n.拍卖,16,Chapter 16 社会经济,/ˈɔːkʃ(ə)n/
bid,v.出价；投标 n.出价；投标,16,Chapter 16 社会经济,/bɪd/
deal,v.买卖；［~with］处理，应付  n.协议，交易；大量,16,Chapter 16 社会经济,/diːl/
transaction,n. (一笔)交易，业务,16,Chapter 16 社会经济,/trænˈzækʃ(ə)n/
turnover,n. (人员)流动率；营业额,16,Chapter 16 社会经济,/ˈtɜːnəʊvə(r)/
dump,v.丢弃，倾倒；倾销,16,Chapter 16 社会经济,/dʌmp/
quota,n.限额，配额；定额,16,Chapter 16 社会经济,/ˈkwəʊtə/
share,n.股份，股票；(在若干人之间分得的)一份   v.分享；共享；分担,16,Chapter 16 社会经济,/ʃeə(r)/
benefit,n.益处v.有利于；获益,16,Chapter 16 社会经济,/ˈbenɪfɪt/
interest,n.兴趣；利益；利息v.使感兴趣,16,Chapter 16 社会经济,/ˈɪntrəst/
stock,n.股本:股票:库存,16,Chapter 16 社会经济,/stɒk/
account,n.账户;解释,16,Chapter 16 社会经济,/əˈkaʊnt/
deposit,n.存款;押金,16,Chapter 16 社会经济,/dɪˈpɒzɪt/
instalment,(=installment)n(分期付款的)一期付款,16,Chapter 16 社会经济,/ɪnˈstɔːlmənt/
cheque,(=check)n.支票,16,Chapter 16 社会经济,/tʃek/
cash,n.现金 v.兑现(支票),16,Chapter 16 社会经济,/kæʃ/
coin,n.硬币 v铸币;创造(新词语),16,Chapter 16 社会经济,/kɔɪn/
shilling,n.先令,16,Chapter 16 社会经济,/ˈʃɪlɪŋ/
copper,n.铜;[~s]铜币:警察,16,Chapter 16 社会经济,/ˈkɒpə(r)/
treasure,n.金银财宝;宝物，珍品,16,Chapter 16 社会经济,/ˈtreʒə(r)/
wealth,n.财富，丰富,16,Chapter 16 社会经济,/welθ/
estate,n.地产；遗产,16,Chapter 16 社会经济,/ɪˈsteɪt/
possess,v. 占用，拥有；影晌，控制,16,Chapter 16 社会经济,/pəˈzes/
legacy,n.遗赠，遗产,16,Chapter 16 社会经济,/ˈleɡəsi/
descend,v. 下降，下来,16,Chapter 16 社会经济,/dɪˈsend/
refund,n. 退款   v. 退(款),16,Chapter 16 社会经济,/ˈriːfʌnd/
coordinate,v. 调和，协调 n. 坐标,16,Chapter 16 社会经济,/kəʊˈɔːdɪneɪt/
collaborate,v. 合作,16,Chapter 16 社会经济,/kəˈlæbəreɪt/
worthy,adj.有价值的；值得......的,16,Chapter 16 社会经济,/ˈwɜːði/
valuable,adj.很值钱的，贵重的；很重要的,16,Chapter 16 社会经济,/ˈvæljuəb(ə)l/
cheap,adj.廉价的；质劣价低的,16,Chapter 16 社会经济,/tʃiːp/
incentive,n. 刺激，激励,16,Chapter 16 社会经济,/ɪnˈsentɪv/
accelerate,v. (使)加速,16,Chapter 16 社会经济,/əkˈseləreɪt/
prompt,V.促使adj.迅速的,16,Chapter 16 社会经济,/prɒmpt/
salary,n.工资，(尤指按月领的)薪水,16,Chapter 16 社会经济,/ˈsæləri/
income,n. 收入,16,Chapter 16 社会经济,/ˈɪnkʌm/
wage,n(通常指按周领的)工钱,16,Chapter 16 社会经济,/weɪdʒ/
payment,n.支付；支付的款顶；付款额,16,Chapter 16 社会经济,/ˈpeɪmənt/
reimburse,v. 赔偿，补偿,16,Chapter 16 社会经济,/ˌriːɪmˈbɜːs/
payroll,n.工资名单,16,Chapter 16 社会经济,/ˈpeɪrəʊl/
remuneration,n. 报酬,16,Chapter 16 社会经济,/rɪˌmjuːnəˈreɪʃ(ə)n/
subsidy,n.津贴，补贴,16,Chapter 16 社会经济,/ˈsʌbsədi/
earn,v.赚得；赢得；获得,16,Chapter 16 社会经济,/ɜːn/
undertaking,n. 任务，事业；许诺，保证,16,Chapter 16 社会经济,/ˌʌndəˈteɪkɪŋ/
career,n.职业，事业；职业生涯,16,Chapter 16 社会经济,/kəˈrɪə(r)/
profession,n.职业,16,Chapter 16 社会经济,/prəˈfeʃn/
occupation,n.占领，占据；职业,16,Chapter 16 社会经济,/ˌɒkjuˈpeɪʃ(ə)n/
job,n.职业，工作；(一份)工作，活儿,16,Chapter 16 社会经济,/dʒɒb/
vocation,n. (认为特别适合自己的)职业；使命感,16,Chapter 16 社会经济,/vəʊˈkeɪʃ(ə)n/
labour,(= labor) n.劳动，体力劳动,16,Chapter 16 社会经济,/ˈleɪbə(r)/
workforce,n.劳动力；全体员工,16,Chapter 16 社会经济,/ˈwɜːkfɔːs/
workaholic,n.工作狂,16,Chapter 16 社会经济,/ˌwɜːkəˈhɒlɪk/
personnel,n.人员，职员；人事部门,16,Chapter 16 社会经济,/ˌpɜːsəˈnel/
clerk,n.店员；办事员；接待员,16,Chapter 16 社会经济,/klɑːk/
interview,n.面试；采访v.对......进行面试；采访,16,Chapter 16 社会经济,/ˈɪntəvjuː/
resume,v.重新开始，(中断后)继续,16,Chapter 16 社会经济,/rɪˈzjuːm/
recommend,v.推荐，介绍：劝告，建议,16,Chapter 16 社会经济,/ˌrekəˈmend/
employ,v.雇用；采用,16,Chapter 16 社会经济,/ɪmˈplɔɪ/
hire,v.雇用：租用自．租赁(业),16,Chapter 16 社会经济,/ˈhaɪə(r)/
fire,v. 解雇 n. 火,16,Chapter 16 社会经济,/ˈfaɪə(r)/
lay-off,n. (因岗位不足的)解雇，裁员；歇工期,16,Chapter 16 社会经济,/ˈleɪ ɒf/
dismiss,v. 解雇；解散；(法官)驳回,16,Chapter 16 社会经济,/dɪsˈmɪs/
discharge,v. 解雇  n. (船的)卸货,16,Chapter 16 社会经济,/dɪsˈtʃɑːdʒ/
resign,v. 辞去，辞职,16,Chapter 16 社会经济,/rɪˈzaɪn/
sack,n.大口袋，麻布袋v.开除,16,Chapter 16 社会经济,/sæk/
retire,v. (使)退休,16,Chapter 16 社会经济,/rɪˈtaɪə(r)/
result,n. 后果，结果 v. 导致,16,Chapter 16 社会经济,/rɪˈzʌlt/
failure,n.失败；失败的人；失败的事,16,Chapter 16 社会经济,/ˈfeɪljə(r)/
abortion,n. 人工流产；(计划等)中途失败,16,Chapter 16 社会经济,/əˈbɔːʃ(ə)n/
loss,n.遗失；损失；亏损,16,Chapter 16 社会经济,/lɒs/
opportunity,n.机会，时机,16,Chapter 16 社会经济,/ˌɒpəˈtjuːnəti/
chance,n.机会；可能性,16,Chapter 16 社会经济,/tʃɑːns/
choose,v. 选择,16,Chapter 16 社会经济,/tʃuːz/
change,n.改变,16,Chapter 16 社会经济,/tʃeɪndʒ/
solve,v. 解答；解决,16,Chapter 16 社会经济,/sɒlv/
develop,v. 发展；开发,16,Chapter 16 社会经济,/dɪˈveləp/
sustainable,adj.可持续的,16,Chapter 16 社会经济,/səˈsteɪnəb(ə)l/
improve,v. 改善，改造,16,Chapter 16 社会经济,/ɪmˈpruːv/
manage,v. 管理；设法做到,16,Chapter 16 社会经济,/ˈmænɪdʒ/
regulate,v. 管理；调整,16,Chapter 16 社会经济,/ˈreɡjuleɪt/
sanction,n. 批准；制裁 v. 批准；对……实施制裁,16,Chapter 16 社会经济,/ˈsæŋkʃn/
cooperate,v. 合作，协作,16,Chapter 16 社会经济,/kəʊˈɒpəreɪt/
