word,meaning,sort,title,phonetic
law,n. 法律；规律；定理,17,Chapter 17 法律法规,/lɔː/
legal,adj. 法律的；合法的,17,Chapter 17 法律法规,/ˈliːɡ(ə)l/
rule,n. 规则 v. 统治,17,Chapter 17 法律法规,/ruːl/
regulation,n. 规则，规定；管理,17,Chapter 17 法律法规,/ˌreɡjuˈleɪʃ(ə)n/
item,n. 一项项目，条目,17,Chapter 17 法律法规,/ˈaɪtəm/
treaty,n. 条约；协议,17,Chapter 17 法律法规,/ˈtriːti/
agreement,n. 协定；同意,17,Chapter 17 法律法规,/əˈɡriːmənt/
charter,n. 宪章 v. 租，包(船、军、飞机等),17,Chapter 17 法律法规,/ˈtʃɑːtə(r)/
protocol,n. 议定书，协议；礼仪,17,Chapter 17 法律法规,/ˈprəʊtəkɒl/
norm,n. 标准；［～s］行为准则，规范,17,Chapter 17 法律法规,/nɔːm/
benchmark,n. 基准，水准点,17,Chapter 17 法律法规,/ˈbentʃmɑːk/
criteria,n. [criterion 的复数形式］标准，准则,17,Chapter 17 法律法规,/kraɪˈtɪəriə/
standard,n. 标准,17,Chapter 17 法律法规,/ˈstændəd/
permit,v. 允许，准许；n. 许可证,17,Chapter 17 法律法规,/pəˈmɪt/
allow,v. 允许，准许,17,Chapter 17 法律法规,/əˈlaʊ/
admission,n. 承认；入场费；准许进入,17,Chapter 17 法律法规,/ədˈmɪʃ(ə)n/
perform,v. 履行，执行,17,Chapter 17 法律法规,/pəˈfɔːm/
enforce,v. 强制执行，强行实施；迫使,17,Chapter 17 法律法规,/ɪnˈfɔːs/
default,v. 不支付，不履行 n. 违约；默认值,17,Chapter 17 法律法规,/dɪˈfɔːlt/
reject,v.拒绝接受；摒弃,17,Chapter 17 法律法规,/rɪˈdʒekt/
constraint,n. 约束，限制；克制,17,Chapter 17 法律法规,/kənˈstreɪnt/
official,adj. 正式的，官方的,17,Chapter 17 法律法规,/əˈfɪʃ(ə)l/
mandatory,adj. 法定的，强制的,17,Chapter 17 法律法规,/ˈmændətəri/
potent,adj. 很有效的，强有力的,17,Chapter 17 法律法规,/ˈpəʊt(ə)nt/
bound,adj. [be ~ to］一定会，很可能会，有义务,17,Chapter 17 法律法规,/baʊnd/
obligation,n. 义务，责任,17,Chapter 17 法律法规,/ˌɒblɪˈɡeɪʃ(ə)n/
court,n.法院；庭院,17,Chapter 17 法律法规,/kɔːt/
supreme,adj. 最高的；最大的,17,Chapter 17 法律法规,/suːˈpriːm; sjuːˈpriːm/
enact,v. 通过(法律)；表演,17,Chapter 17 法律法规,/ɪˈnækt/
legislate,v. 立法，制定(或通过)法律,17,Chapter 17 法律法规,/ˈledʒɪsleɪt/
equity,n. 公平,17,Chapter 17 法律法规,/ˈekwəti/
fair,adj. 公平的，公正的,17,Chapter 17 法律法规,/feə(r)/
just,adj. 公正的；正义的 adv. 刚刚；仅仅,17,Chapter 17 法律法规,/dʒʌst/
prejudice,n. 偏见，成见,17,Chapter 17 法律法规,/ˈpredʒədɪs/
discrimination,n. 歧视,17,Chapter 17 法律法规,/dɪˌskrɪmɪˈneɪʃn/
accuse,v.控告，指责,17,Chapter 17 法律法规,/əˈkjuːz/
sue,v. 控告，提起诉讼；提出请求,17,Chapter 17 法律法规,/suː/
prosecute,v.检举，起诉,17,Chapter 17 法律法规,/ˈprɒsɪkjuːt/
condemn,v.  谴责，指责,17,Chapter 17 法律法规,/kənˈdem/
complain,v.抱怨；投诉,17,Chapter 17 法律法规,/kəmˈpleɪn/
boycott,v. 抵制，拒绝购买  n.抵制行动,17,Chapter 17 法律法规,/ˈbɔɪkɒt/
session,n. 会议；会期,17,Chapter 17 法律法规,/ˈseʃ(ə)n/
mediate,v. 斡旋，调解,17,Chapter 17 法律法规,/ˈmiːdieɪt/
plea,n. 辩解理由，借口；请求,17,Chapter 17 法律法规,/pliː/
appeal,v.呼吁；申诉  n. 呼吁；申诉,17,Chapter 17 法律法规,/əˈpiːl/
contradict,v.反驳；与......矛盾,17,Chapter 17 法律法规,/ˌkɒntrəˈdɪkt/
persuade,v. 说服；使相信,17,Chapter 17 法律法规,/pəˈsweɪd/
controversy,n. 争议；辩论,17,Chapter 17 法律法规,/ˈkɒntrəvɜːsi/
whisper,v. 低声说；私下谈论,17,Chapter 17 法律法规,/ˈwɪspə(r)/
mutter,v.轻声低语；小声抱怨,17,Chapter 17 法律法规,/ˈmʌtə(r)/
murmur,v. 低声说 n. 咕哝，低语,17,Chapter 17 法律法规,/ˈmɜːmə(r)/
silent,adj. 沉默的；寂静无声的,17,Chapter 17 法律法规,/ˈsaɪlənt/
mute,adj. 缄默的；哑的；无声的 n. 哑巴,17,Chapter 17 法律法规,/mjuːt/
investigate,v. 调查,17,Chapter 17 法律法规,/ɪnˈvestɪɡeɪt/
witness,n. 目击者，见证人 v. 目击,17,Chapter 17 法律法规,/ˈwɪtnəs/
justify,v. 为......辩护，证明……正当,17,Chapter 17 法律法规,/ˈdʒʌstɪfaɪ/
reasonable,adj. 合理的；理智的,17,Chapter 17 法律法规,/ˈriːznəbl/
suitable,adj. 合适的，适宜的,17,Chapter 17 法律法规,/ˈsuːtəb(ə)l/
FALSE,adj. 不正确的；虚假的；伪造的,17,Chapter 17 法律法规,/fɔːls/
judge,n. 法官；裁判员,17,Chapter 17 法律法规,/dʒʌdʒ/
jury,n.陪审团；(比赛的)评判委员会,17,Chapter 17 法律法规,/ˈdʒʊəri/
trial,n. 试验；审判,17,Chapter 17 法律法规,/ˈtraɪəl/
suspect,n. 嫌疑犯 v. 怀疑,17,Chapter 17 法律法规,/səˈspekt/
sentence,n. 判决 v. 宣判,17,Chapter 17 法律法规,/ˈsentəns/
arrest,v. 逮捕；吸引(注意)n. 逮捕,17,Chapter 17 法律法规,/əˈrest/
jail,n.监狱  v.监禁,17,Chapter 17 法律法规,/dʒeɪl/
prison,n.监狱；监禁,17,Chapter 17 法律法规,/ˈprɪz(ə)n/
confine,n. [~s] 边界，范围  v.限制；监禁,17,Chapter 17 法律法规,/kənˈfaɪn/
oversee,v. 监督，监管,17,Chapter 17 法律法规,/ˌəʊvəˈsiː/
supervise,v.监督，管理，指导,17,Chapter 17 法律法规,/ˈsuːpəvaɪz/
restrict,v. 限制，限定；约束,17,Chapter 17 法律法规,/rɪˈstrɪkt/
restrain,v. 抑制；制止,17,Chapter 17 法律法规,/rɪˈstreɪn/
commit,v. 犯(罪)，做(坏事),17,Chapter 17 法律法规,/kəˈmɪt/
sin,n. 罪孽 v. 犯戒律,17,Chapter 17 法律法规,/sɪn/
crime,n.罪行；犯罪活动,17,Chapter 17 法律法规,/kraɪm/
vice,n. 恶行；缺点,17,Chapter 17 法律法规,/vaɪs/
bribe,n. 贿赂 v. 向......行贿,17,Chapter 17 法律法规,/braɪb/
rob,v.抢劫；夺走,17,Chapter 17 法律法规,/rɒb/
pirate,n.海盗；盗版者 v. 盗印，窃用,17,Chapter 17 法律法规,/ˈpaɪrət/
steal,n. 偷，窃取；剽窃,17,Chapter 17 法律法规,/stiːl/
thief,n.窃贼，偷窃犯,17,Chapter 17 法律法规,/θiːf/
murder,n.谋杀 v. 谋杀,17,Chapter 17 法律法规,/ˈmɜːdə(r)/
suicide,n. 自杀,17,Chapter 17 法律法规,/ˈsuːɪsaɪd/
deceive,v.欺骗；蒙蔽，误导,17,Chapter 17 法律法规,/dɪˈsiːv/
cheat,v. 欺骗；作弊 n. 作弊者,17,Chapter 17 法律法规,/tʃiːt/
fraud,n. 骗子；赝品；欺诈,17,Chapter 17 法律法规,/frɔːd/
liar,n. 说谎的人,17,Chapter 17 法律法规,/ˈlaɪə(r)/
trap,n. 陷阱；诡计 ，诱骗,17,Chapter 17 法律法规,/træp/
trick,n.诡计 v.哄骗,17,Chapter 17 法律法规,/trɪk/
pretend,v. 假装；假扮,17,Chapter 17 法律法规,/prɪˈtend/
fool,n. 蠢人，傻子 v. 欺骗,17,Chapter 17 法律法规,/fuːl/
stigma,n. 耻辱， 污名,17,Chapter 17 法律法规,/ˈstɪɡmə/
confess,v. 供认；忏悔,17,Chapter 17 法律法规,/kənˈfes/
conform,v.遵守； 顺从；相符合,17,Chapter 17 法律法规,/kənˈfɔːm/
reconcile,v. 使和解；调和,17,Chapter 17 法律法规,/ˈrekənsaɪl/
obey,v. 服从， 顺从,17,Chapter 17 法律法规,/əˈbeɪ/
succumb,v. 屈服，屈从,17,Chapter 17 法律法规,/səˈkʌm/
penalty,n. 惩罚，处罚,17,Chapter 17 法律法规,/ˈpenəlti/
fine,n.罚款  adj. 美好的,17,Chapter 17 法律法规,/faɪn/
mortgage,v. 抵押(房屋、土地)借款 n. 房屋抵押贷款,17,Chapter 17 法律法规,/ˈmɔːɡɪdʒ/
ownership,n. 所有权，物主身份,17,Chapter 17 法律法规,/ˈəʊnəʃɪp/
copyright,n.版权,17,Chapter 17 法律法规,/ˈkɒpiraɪt/
privilege,n. 特权,17,Chapter 17 法律法规,/ˈprɪvəlɪdʒ/
accredit,V. 把……归于；委任,17,Chapter 17 法律法规,/əˈkredɪt/
clue,n.线索；提示,17,Chapter 17 法律法规,/kluː/
access,n. 通路，入径：查阅(或使用、接近)的机会(或权利),17,Chapter 17 法律法规,/ˈækses/
anonymous,adj. 匿名的,17,Chapter 17 法律法规,/əˈnɒnɪməs/
genuine,adj. 真诚的；真正的,17,Chapter 17 法律法规,/ˈdʒenjuɪn/
procedure,n. 手续；程序,17,Chapter 17 法律法规,/prəˈsiːdʒə(r)/
routine,n. 例行公事；需规 adj. 惯例的,17,Chapter 17 法律法规,/ruːˈtiːn/
consequence,n. 后果,17,Chapter 17 法律法规,/ˈkɒnsɪkwəns/
