word,meaning,sort,title,phonetic
violence,n.暴力,18,Chapter 18 沙场争锋,/ˈvaɪələns/
conflict,n.斗争，冲突,18,Chapter 18 沙场争锋,/ˈkɒnflɪkt/
raid,n.突袭；突然搜查  v.突袭；突然搜查,18,Chapter 18 沙场争锋,/reɪd/
enormity,n.巨大；滔天大罪,18,Chapter 18 沙场争锋,/ɪˈnɔːməti/
campaign,n.战役；运动；v.参加运动,18,Chapter 18 沙场争锋,/kæmˈpeɪn/
battle,n.战斗战役 V.与战斗,18,Chapter 18 沙场争锋,/ˈbæt(ə)l/
struggle,v.挣扎；奋力  n.挣扎；奋力,18,Chapter 18 沙场争锋,/ˈstrʌɡ(ə)l/
explosion,n.爆发；迸发；爆炸；激增,18,Chapter 18 沙场争锋,/ɪkˈspləʊʒ(ə)n/
bombard,v.轰击，轰炸；连珠炮般质问(或批评),18,Chapter 18 沙场争锋,/bɒmˈbɑːd/
bomb,n.炸弹；v.轰炸,18,Chapter 18 沙场争锋,/bɒm/
blast,n.爆炸；v.爆炸，炸毁,18,Chapter 18 沙场争锋,/blɑːst/
burst,v.(使)爆裂；(使)胀开 n.迸发；爆裂,18,Chapter 18 沙场争锋,/bɜːst/
spark,n.火花，火星,18,Chapter 18 沙场争锋,/spɑːk/
twinkle,n.闪烁，闪耀  v.闪烁，闪耀,18,Chapter 18 沙场争锋,/ˈtwɪŋk(ə)l/
gunpowder,n.火药,18,Chapter 18 沙场争锋,/ˈɡʌnpaʊdə(r)/
tank,n.坦克；罐，槽，缸,18,Chapter 18 沙场争锋,/tæŋk/
cannon,n.大炮，加农炮；(飞机上的)自动机关炮,18,Chapter 18 沙场争锋,/ˈkænən/
missile,n.导弹；投掷物,18,Chapter 18 沙场争锋,/ˈmɪsaɪl/
weapon,n.武器，兵器；手段,18,Chapter 18 沙场争锋,/ˈwepən/
pistol,n.手枪,18,Chapter 18 沙场争锋,/ˈpɪst(ə)l/
rifle,n.步枪,18,Chapter 18 沙场争锋,/ˈraɪf(ə)l/
bullet,n.子弹，枪弹,18,Chapter 18 沙场争锋,/ˈbʊlɪt/
target,n.靶子；目标，对象,18,Chapter 18 沙场争锋,/ˈtɑːɡɪt/
deflect,v .(使)偏斜，(使)偏转：转移,18,Chapter 18 沙场争锋,/dɪˈflekt/
mission,n.使命；重要任务,18,Chapter 18 沙场争锋,/ˈmɪʃ(ə)n/
flame,n.火焰；强烈的感情,18,Chapter 18 沙场争锋,/fleɪm/
flare,n. (闪耀的)火光；闪光信号灯v. (火光)闪耀,18,Chapter 18 沙场争锋,/fleə(r)/
glitter,v.闪烁；闪现n发光小物,18,Chapter 18 沙场争锋,/ˈɡlɪtə(r)/
glow,v.发出微弱稳定的光；n，微弱稳定的光,18,Chapter 18 沙场争锋,/ɡləʊ/
blade,n.刃，锋；(螺旋浆的)叶片,18,Chapter 18 沙场争锋,/bleɪd/
sword,n.刀，剑,18,Chapter 18 沙场争锋,/sɔːd/
ax,n.斧子,18,Chapter 18 沙场争锋,/æks/
hammer,n，锤，哪头v.用锤击,18,Chapter 18 沙场争锋,/ˈhæmə(r)/
