word,meaning,sort,title,phonetic
pioneer,n.先驱，开创者,19,Chapter 19 社会角色,/ˌpaɪəˈnɪə(r)/
prophet,n. (基督教、犹太教、伊斯兰教的)先知；预言家,19,Chapter 19 社会角色,/ˈprɒfɪt/
herald,n.使者，传令官；先驱，预兆 V.预告；宣布,19,Chapter 19 社会角色,/ˈherəld/
heir,n.后嗣；继承人,19,Chapter 19 社会角色,/eə(r)/
successor,n.接替者，继任者；后继的事物,19,Chapter 19 社会角色,/səkˈsesə(r)/
generation,n.一代(约20至30年)；一代人,19,Chapter 19 社会角色,/ˌdʒenəˈreɪʃ(ə)n/
surname,n.姓 v.给······起别名,19,Chapter 19 社会角色,/ˈsɜːneɪm/
gender,n.性别,19,Chapter 19 社会角色,/ˈdʒendə(r)/
sex,n.性别；性行为,19,Chapter 19 社会角色,/seks/
female,n.女子；雌性生物 adj.女的；雌性的,19,Chapter 19 社会角色,/ˈfiːmeɪl/
couple,n.夫妻，情侣；两个，几个,19,Chapter 19 社会角色,/ˈkʌp(ə)l/
spouse,n.配偶(指夫或妻),19,Chapter 19 社会角色,/spaʊs/
husband,n.丈夫,19,Chapter 19 社会角色,/ˈhʌzbənd/
gay,n.同性恋者(尤指男性)adj.同性恋的；快乐的；艳丽的,19,Chapter 19 社会角色,/ɡeɪ/
grandfather,n. (外)祖父,19,Chapter 19 社会角色,/ˈɡrænfɑːðə(r)/
father-in-law,n.岳父；公公,19,Chapter 19 社会角色,/ˈfɑːðər ɪn lɔː/
sibling,n.兄；弟；姐；妹,19,Chapter 19 社会角色,/ˈsɪblɪŋ/
cousin,n.堂(或表)兄(或弟、姐、妹),19,Chapter 19 社会角色,/ˈkʌz(ə)n/
nephew,n.侄子；外甥,19,Chapter 19 社会角色,/ˈnefjuː/
niece,n.侄友；外甥友,19,Chapter 19 社会角色,/niːs/
twin,adj.成双的 n.双胞胎之一,19,Chapter 19 社会角色,/twɪn/
