word,meaning,sort,title,phonetic
act,v.行动 n.行为,20,Chapter 20 行为动作,/ækt/
behave,v.表现；(机器等)运转,20,Chapter 20 行为动作,/bɪˈheɪv/
deed,n.行为；功绩；契约,20,Chapter 20 行为动作,/diːd/
accustom,v.使习惯(于),20,Chapter 20 行为动作,/əˈkʌstəm/
react,v.作出反应，反应,20,Chapter 20 行为动作,/riˈækt/
respond,v.回答；响应，作出反应,20,Chapter 20 行为动作,/rɪˈspɒnd/
reflect,v.反映；反射,20,Chapter 20 行为动作,/rɪˈflekt/
bear,v.生(孩子)；窑忍；承担(责任),20,Chapter 20 行为动作,/beə(r)/
adopt,v.收养；采取，采用,20,Chapter 20 行为动作,/əˈdɒpt/
nourish,v.滋养，给......提供营养,20,Chapter 20 行为动作,/ˈnʌrɪʃ/
mow,v割，修剪n.干草堆,20,Chapter 20 行为动作,/məʊ/
support,v.支撑；支持；供养n.支持；帮助,20,Chapter 20 行为动作,/səˈpɔːt/
exhale,v.呼气，呼出,20,Chapter 20 行为动作,/eksˈheɪl/
intake,n吸入；摄取量；新招收者,20,Chapter 20 行为动作,/ˈɪnteɪk/
revive,v. (使)苏醒；(使)复兴，(使)复活,20,Chapter 20 行为动作,/rɪˈvaɪv/
survive,v.幸存；生存,20,Chapter 20 行为动作,/səˈvaɪv/
glare,V.怒目而视；发出强光n.刺眼的光；怒视,20,Chapter 20 行为动作,/ɡleə(r)/
glimpse,V.瞥见n一瞥,20,Chapter 20 行为动作,/ɡlɪmps/
glance,v.瞥，迅速看一眼n.一瞥,20,Chapter 20 行为动作,/ɡlɑːns/
peep,V.窥视，偷看n偷偷一瞥,20,Chapter 20 行为动作,/piːp/
gaze,V.凝视，注视,20,Chapter 20 行为动作,/ɡeɪz/
peer,V.凝视，盯着看n.同等地位的人，同辈,20,Chapter 20 行为动作,/pɪə(r)/
stare,v.凝视，盯着看,20,Chapter 20 行为动作,/steə(r)/
contemplate,v.凝视；沉思；考虑,20,Chapter 20 行为动作,/ˈkɒntəmpleɪt/
vow,n.誓约v.发誓,20,Chapter 20 行为动作,/vaʊ/
oath,n.誓言；宣誓,20,Chapter 20 行为动作,/əʊθ/
pledge,v. 保证；n.保证，誓言,20,Chapter 20 行为动作,/pledʒ/
whistle,n.口哨；哨子；汽笛声v.吹口哨；吹哨子,20,Chapter 20 行为动作,/ˈwɪs(ə)l/
reply,v.回答，答复  n.回答，答复,20,Chapter 20 行为动作,/rɪˈplaɪ/
notify,v.通知，告知,20,Chapter 20 行为动作,/ˈnəʊtɪfaɪ/
assert,v断言，坚称；坚持(自己)的主张,20,Chapter 20 行为动作,/əˈsɜːt/
explain,v.说明，解释,20,Chapter 20 行为动作,/ɪkˈspleɪn/
quarrel,v.吵架，争论  n.吵架，争论,20,Chapter 20 行为动作,/ˈkwɒrəl/
dispute,v.争论，辩论  n.争论，辩论,20,Chapter 20 行为动作,/dɪˈspjuːt/
argument,n.辩论，争论；论点，论据,20,Chapter 20 行为动作,/ˈɑːɡjumənt/
mention,v.提及，说起  n.提及，说起,20,Chapter 20 行为动作,/ˈmenʃ(ə)n/
hurry,V.赶紧；催促n.匆忙,20,Chapter 20 行为动作,/ˈhʌri/
hasten,v. 赶紧；促进,20,Chapter 20 行为动作,/ˈheɪs(ə)n/
urge,V.催促，敦促n冲动,20,Chapter 20 行为动作,/ɜːdʒ/
scold,V.责骂，斥责,20,Chapter 20 行为动作,/skəʊld/
curse,V.诅咒；咒骂n咒语：咒骂话,20,Chapter 20 行为动作,/kɜːs/
swear,v诅咒，咒骂；发苔，保证,20,Chapter 20 行为动作,/sweə(r)/
provoke,V.激怒，挑拨；引起,20,Chapter 20 行为动作,/prəˈvəʊk/
preach,V.宣扬,20,Chapter 20 行为动作,/priːtʃ/
boast,v.自夸，吹嘘  n.自夸，吹嘘,20,Chapter 20 行为动作,/bəʊst/
tease,v取笑，嘲弄,20,Chapter 20 行为动作,/tiːz/
mock,"v.嘲笑，嘲弄 adj.模拟的,假装的",20,Chapter 20 行为动作,/mɒk/
touch,v.触摸；触动n.触觉；接触,20,Chapter 20 行为动作,/tʌtʃ/
hug,v.拥抱 n.拥抱,20,Chapter 20 行为动作,/hʌɡ/
tap,v.轻拍，轻叩；开发,20,Chapter 20 行为动作,/tæp/
clap,v.拍手；轻拍  n.鼓掌,20,Chapter 20 行为动作,/klæp/
applaud,v.鼓掌；称赞，赞许,20,Chapter 20 行为动作,/əˈplɔːd/
