word,meaning,sort,title,phonetic
daily,adj.每日的 n.日报,22,Chapter 22 时间日期,/ˈdeɪli/
monthly,adj.每月的  adv.每月一次  n.月刊,22,Chapter 22 时间日期,/ˈmʌnθli/
quarterly,adj.季度的 adv.接季度地 n.季刊,22,Chapter 22 时间日期,/ˈkwɔːtəli/
annual,adj.每年的；一年的 n.年报,22,Chapter 22 时间日期,/ˈænjuəl/
yearly,adj.每年的；一竿的  adv.每年地,22,Chapter 22 时间日期,/ˈjɪəli/
anniversary,n.周年纪念日,22,Chapter 22 时间日期,/ˌænɪˈvɜːsəri/
era,n.时代，年代，纪元,22,Chapter 22 时间日期,/ˈɪərə/
present,adj.现在的 n.目前；礼物，赠送物,22,Chapter 22 时间日期,/ˈprez(ə)nt; prɪˈzent/
contemporary,adj.当代的；同时代的,22,Chapter 22 时间日期,/kənˈtemp(ə)rəri/
medieval,adj.中世纪的；守旧的,22,Chapter 22 时间日期,/ˌmediˈiːv(ə)l/
century,n.世纪；百年,22,Chapter 22 时间日期,/ˈsentʃəri/
millennium,n.一千年，千年期；千禧年,22,Chapter 22 时间日期,/mɪˈleniəm/
million,num.百万；大量,22,Chapter 22 时间日期,/ˈmɪljən/
billion,num.十亿；大量,22,Chapter 22 时间日期,/ˈbɪljən/
dozen,n.一打，十二个；十来个,22,Chapter 22 时间日期,/ˈdʌz(ə)n/
dawn,n黎明；开端 v.破晓,22,Chapter 22 时间日期,/dɔːn/
midday,n.正午，中午,22,Chapter 22 时间日期,/ˌmɪdˈdeɪ/
midnight,n.午夜，子夜，半夜,22,Chapter 22 时间日期,/ˈmɪdnaɪt/
overnight,adv.在晚上；突然，一夜之间,22,Chapter 22 时间日期,/ˌəʊvəˈnaɪt/
night,n.夜，夜间；晚上；夜场,22,Chapter 22 时间日期,/naɪt/
modern,adj.现代的；近代的,22,Chapter 22 时间日期,/ˈmɒd(ə)n/
recent,adj.新近的，最近的,22,Chapter 22 时间日期,/ˈriːs(ə)nt/
first,ord.第一 adv.最初，第一,22,Chapter 22 时间日期,/fɜːst/
up-to-date,adj. 直到目前的；现代的,22,Chapter 22 时间日期,/ˌʌp tə ˈdeɪt/
secondly,adv.第二，其次,22,Chapter 22 时间日期,/ˈsekəndli/
finally,adv.最后；终于；决定性地,22,Chapter 22 时间日期,/ˈfaɪnəli/
finish,V.完成；结束 n.结尾，最后部分,22,Chapter 22 时间日期,/ˈfɪnɪʃ/
immediately,adv.立即；直接地,22,Chapter 22 时间日期,/ɪˈmiːdiətli/
instant,n. 瞬间；adj. 立即的,22,Chapter 22 时间日期,/ˈɪnstənt/
moment,n.片刻；时刻,22,Chapter 22 时间日期,/ˈməʊmənt/
minute,n.分，分钟；一会儿,22,Chapter 22 时间日期,/ˈmɪnɪt/
prior,adj.在先的，在前的,22,Chapter 22 时间日期,/ˈpraɪə(r)/
former,adj.以前的；前者的 pron.前者,22,Chapter 22 时间日期,/ˈfɔːmə(r)/
preceding,adj.在前的，在先的,22,Chapter 22 时间日期,/prɪˈsiːdɪŋ/
precedent,n.先例；常规,22,Chapter 22 时间日期,/ˈpresɪdənt/
foremost,adj.最前的；最重要的,22,Chapter 22 时间日期,/ˈfɔːməʊst/
opening,adj.开始的 n.开始，开端,22,Chapter 22 时间日期,/ˈəʊpənɪŋ/
initially,adv.最初,22,Chapter 22 时间日期,/ɪˈnɪʃəli/
intermediate,adj.中间的,22,Chapter 22 时间日期,/ˌɪntəˈmiːdiət/
midst,n.中部，中间,22,Chapter 22 时间日期,/mɪdst/
meantime,n. [in the~］其间，同时；［for the~］眼下，暂时,22,Chapter 22 时间日期,/ˈmiːntaɪm/
meanwhile,adv.同时，其间,22,Chapter 22 时间日期,/ˈmiːnwaɪl/
simultaneous,adj.同时发生(或进行)的,22,Chapter 22 时间日期,/ˌsɪm(ə)lˈteɪniəs/
ongoing,adj.进行中的；继续存在的,22,Chapter 22 时间日期,/ˈɒnɡəʊɪŋ/
everlasting,adj.永恒的,22,Chapter 22 时间日期,/ˌevəˈlɑːstɪŋ/
permanent,adj.永久的,22,Chapter 22 时间日期,/ˈpɜːmənənt/
punctual,adj.准时的，守时的,22,Chapter 22 时间日期,/ˈpʌŋktʃuəl/
duration,n.持续时间；期间,22,Chapter 22 时间日期,/djuˈreɪʃn/
consecutive,adj.连续不断的,22,Chapter 22 时间日期,/kənˈsekjətɪv/
periodically,adv.周期性地，定期地,22,Chapter 22 时间日期,/ˌpɪəriˈɒdɪkli/
imminent,adj. (尤指不愉快的事)即将发生的，逼近的,22,Chapter 22 时间日期,/ˈɪmɪnənt/
incidentally,adv.偶然地；顺便提一句,22,Chapter 22 时间日期,/ˌɪnsɪˈdent(ə)li/
