word,meaning,sort,title,phonetic,english_meaning,example
biologist,n. 生物学家,3,Chapter 3 动物保护,/baɪˈɒlədʒɪst/,"A person who studies living things like plants, animals, and people.","For example, a person who works in a lab to learn how animals live and grow is a biologist."
zoologist,n. 动物学家,3,Chapter 3 动物保护,/zuˈɒlədʒɪst; zəʊˈɒlədʒɪst/,"A person who studies animals and how they live, grow, and behave.","For example, a person who watches birds in the forest and learns about their habits is a zoologist."
ecologist,n. 生态学家,3,Chapter 3 动物保护,/iˈkɒlədʒɪst/,"A person who studies how plants, animals, and people live together in their environment.","For example, someone might study how pollution affects the animals in a forest."
botanist,n. 植物学家,3,Chapter 3 动物保护,/ˈbɒtənɪst/,A person who studies plants and how they grow.,"For example, a person who works in a garden and learns about different types of flowers and trees is a botanist."
mammal,n. 哺乳动物,3,Chapter 3 动物保护,/ˈmæm(ə)l/,A mammal is an animal that has hair or fur and feeds its babies with milk from its body.,"For example, a dog is a mammal because it has fur and drinks milk when it is a baby."
primate,n. 灵长目动物,3,Chapter 3 动物保护,/ˈpraɪmeɪt/,"A primate is a type of mammal that includes animals like monkeys, apes, and humans.","For example, a chimpanzee is a primate that lives in forests and uses tools to find food."
vertebrate,n. 脊椎动物,3,Chapter 3 动物保护,/ˈvɜːtɪbrət/,A vertebrate is an animal that has a backbone or a spine. These animals usually have a skeleton inside their body.,"For example, a dog is a vertebrate because it has a backbone and a skeleton."
reptile,n. 爬行动物,3,Chapter 3 动物保护,/ˈreptaɪl/,A type of animal that has dry skin and usually lays eggs.,"For example, a snake is a reptile."
amphibian,n. 两栖动物；水陆两用车 adj. 两栖动物的；水陆两用的,3,Chapter 3 动物保护,/æmˈfɪbiən/,A living thing that can live both in water and on land.,"For example, a frog can swim in water and jump on land."
carnivore,n. 食肉动物,3,Chapter 3 动物保护,/ˈkɑːnɪvɔː(r)/,A creature that eats other animals for food.,"For example, a lion hunts and eats deer to stay strong."
herbivore,n. 食草动物,3,Chapter 3 动物保护,/ˈhɜːbɪvɔː(r)/,"A animal that eats only plants, like grass, leaves, or fruits.","For example, a cow eats grass and leaves, so it is a animal that eats plants."
creature,n. 生物，动物,3,Chapter 3 动物保护,/ˈkriːtʃə(r)/,A living thing that has a body and can move on its own.,"For example, a dog is a creature that lives in our homes and loves to play."
wildlife,n. 野生动物；野生生物,3,Chapter 3 动物保护,/ˈwaɪldlaɪf/,The animals and plants that live in nature and are not kept by people.,"For example, lions, tigers, and trees are part of the natural world where they grow and live on their own."
fauna,n.(尤指某一地区的)动物群,3,Chapter 3 动物保护,/ˈfɔːnə/,It is a group of animals that live in a particular place or area.,"For example, the animals that live in the Amazon rainforest make up its wildlife."
flora,n.(尤指某一地区的)植物群,3,Chapter 3 动物保护,/ˈflɔːrə/,It is the group of all the plants that grow in a certain place.,"For example, the plants in a forest make up the flora of that area."
species,n. [ 单复数同形 ] 种，物种,3,Chapter 3 动物保护,/ˈspiːʃiːz/,A group of living things that are alike and can have babies together.,"For example, lions and tigers are different groups, but all lions are part of the same group."
flock,n.(羊或鸟)群 v. 聚集,3,Chapter 3 动物保护,/flɒk/,"A group of animals, like sheep or birds, that stay together. It can also mean to come together in a group.","For example, a group of birds flying together in the sky is called a flock."
herd,n. 兽群，畜群,3,Chapter 3 动物保护,/hɜːd/,"A group of animals that live or move together, especially cows, sheep, or other farm animals.","For example, a group of cows walking in the field is called a herd."
swarm,n.(蜜蜂等昆虫的)一大群；(迅速移动的)人群,3,Chapter 3 动物保护,/swɔːm/,"A group of animals, like bees, that move together in a big mass. It can also mean a large group of people moving quickly in one direction.","For example, a group of bees flying together is called a swarm."
throng,n. 人群，一大群人 v. 群集,3,Chapter 3 动物保护,/θrɒŋ/,A large group of people all together in one place.,"For example, many people gathered near the park when the concert started."
crowd,n.入群；观众；一伙人,3,Chapter 3 动物保护,/kraʊd/,A group of people who are all together in one place,"For example, many people gathered at the park on a sunny day."
beast,n. 兽，野兽；凶残的人，畜生,3,Chapter 3 动物保护,/biːst/,"A beast is a wild animal, especially one that is large and dangerous. It can also mean a person who is very cruel or unkind.","For example, a lion is a beast, and someone who hurts others on purpose might be called a beast."
brute,n. 粗野的人，残忍的人,3,Chapter 3 动物保护,/bruːt/,A person who is not kind and often uses force or violence to get what they want.,"For example, a person who hits others without reason might be called a brute."
